小区,小区地址,PRI,AGE,YEAR,FAR,GRE,CAR,PRO,物业类型
淘金北小区,越秀-淘金-淘金北路7-53号,44554,1990年,70年,2.10,28.0%,1,1.20元/平米/月,住宅
恒福路小区,越秀-淘金-恒福路19-97号,34339,1992年,70年,3.10,29.0%,0,1.00元/平米/月,住宅
豪贤苑,越秀-农讲所-仁生里13号,52269,2001年,70年,6.00,16.0%,1,1.50元/平米/月,住宅
明月东山,越秀-五羊新城-明月一路2街2-10号,69189,2012年,70年,1.00,20.0%,1,3.20元/平米/月,住宅
东华西路小区,越秀-东川-东华西路,39477,1992年,70年,2.50,35.0%,1,0.80元/平米/月,住宅
大沙头路小区,"越秀-大沙头-大沙头20,21号,大沙头三马路2号",37598,2008年,70年,2.40,20.0%,0,0.50元/平米/月,住宅
府前铭泰,越秀-北京路-中山五路217-255号,23996,2014年,70年,2.50,20.0%,1,5.00元/平米/月,住宅
越秀上品轩,越秀-西门口-中山六路285-287号,61235,2007年,70年,1.65,25.0%,1,2.50元/平米/月,住宅
邮电小区,越秀-建设-华乐路,44944,2002年,70年,3.60,30.0%,1,0.90元/平米/月,住宅
粤泰荣廷府,越秀-东川-东华西路52-56号,84961,2019年,70年,2.50,30.0%,1,2.80元/平米/月,住宅
中山一路小区,越秀-杨箕-中山一路5-13号,54185,1993年,70年,2.50,35.0%,0,1.00元/平米/月,住宅
东湖豪苑,越秀-东山口-东湖路26号,89317,2000年,70年,4.25,50.0%,1,0.90元/平米/月,住宅
拥翠小区,越秀-建设-建设大马路17号,45233,2000年,70年,0.45,10.0%,1,0.90元/平米/月,住宅
天伦花园,越秀-建设-建设四马路17-29号,74987,2004年,70年,1.30,30.0%,1,2.00元/平米/月,住宅
丹桂里,越秀-小北-丹桂里12号,61156,1996年,70年,2.30,20.0%,0,1.30元/平米/月,住宅
文德广场,越秀-北京路-文德南路54~64号,59178,1999年,70年,2.50,28.0%,0,0.90元/平米/月,住宅
江尚东山,越秀-东湖-大沙头四马路2号,85365,2010年,70年,2.50,30.0%,1,3.50元/平米/月,住宅
淘金路小区,越秀-淘金-淘金路,53735,1990年,70年,2.70,33.0%,1,0.50元/平米/月,住宅
农林下路小区,越秀-农林下路-农林下路,75757,1994年,70年,1.20,30.0%,1,15.00元/平米/月,住宅
名门越秀,越秀-北京路-万福路291-295号,90572,2011年,70年,3.30,35.0%,1,2.80元/平米/月,住宅
汉苑(越秀),越秀-五羊新城-明月一路59号,105941,2004年,70年,6.20,55.0%,1,2.00元/平米/月,住宅
银基金湾,越秀-越秀南-越秀南路1号,60258,2009年,70年,9.17,35.0%,1,2.80元/平米/月,住宅
东兴小区,越秀-五羊新城-东兴北路1-102号,46659,1995年,70年,2.60,40.0%,0,0.65元/平米/月,住宅
东川大厦,越秀-东川-东川路6号,74501,2002年,70年,2.00,30.0%,1,1.50元/平米/月,住宅
麓湖轩,越秀-小北-麓湖路9号,60443,2016年,70年,6.00,30.0%,1,2.80元/平米/月,住宅
东湖肯辛顿,越秀-东湖-东湖西路30-44号,72195,2009年,70年,3.80,30.0%,0,0.60元/平米/月,住宅
大沙头三马路大院,越秀-东湖-大沙头三马路9-11号,42771,1993年,70年,1.20,20.0%,0,0.50元/平米/月,住宅
朝天路大院,越秀-西门口-朝天路,35000,1994年,70年,2.60,25.0%,0,0.80元/平米/月,住宅
洪都大厦,越秀-黄花岗-先烈中路81号,66537,2009年,70年,2.50,30.0%,0,0.90元/平米/月,住宅
桂花岗小区,越秀-解放北-桂花路1-2号,39426,1996年,70年,2.50,40.0%,1,1.00元/平米/月,住宅
东山紫园,越秀-东风东-东风东路745号,82022,2007年,70年,7.39,35.0%,1,2.60元/平米/月,住宅
保利麓苑,越秀-淘金-麓苑路33号,62677,2006年,70年,8.03,30.0%,1,1.85元/平米/月,住宅
农林上路小区,越秀-农林下路-农林下路,66682,1995年,70年,1.50,35.0%,0,2.40元/平米/月,住宅
城启波尔多庄园,越秀-淘金-淘金东路141号,52757,2002年,70年,4.00,22.0%,0,2.10元/平米/月,住宅
大东门华庭,越秀-农讲所-中山四路6-8号,67182,2005年,70年,1.72,40.0%,1,1.80元/平米/月,住宅
恤孤院路小区,越秀-东山口-恤孤院路,72182,1992年,70年,3.00,30.0%,0,0.50元/平米/月,住宅
华侨新村和平路小区,越秀-环市东-和平路,88670,1990年,70年,1.50,20.0%,0,0.50元/平米/月,住宅
万艺国际精品广场,越秀-海珠广场-侨光路10-12号,29292,2014年,70年,3.00,15.0%,1,3.50元/平米/月,住宅
天锦大厦,越秀-中山路-中山一路41号,55327,1996年,70年,2.12,41.0%,1,1.00元/平米/月,住宅
金宝怡庭,越秀-东川-中山三路125-127号,54745,2006年,70年,2.50,16.0%,1,1.90元/平米/月,住宅
东方花苑,越秀-杨箕-广州大道中353-367号,47665,1994年,70年,5.00,38.0%,1,2.00元/平米/月,住宅
东悦居,越秀-五羊新城-寺右北二街20号,60000,2000年,70年,2.50,40.0%,0,1.95元/平米/月,住宅
凯旋会花园,越秀-五羊新城-明月一路11-23号,117854,2004年,70年,7.50,65.0%,1,4.00元/平米/月,住宅
水均大街小区,越秀-东风东-水均大街,49304,1992年,70年,2.00,35.0%,1,0.50元/平米/月,住宅
小北路小区,越秀-小北-小北路,53440,1998年,70年,2.56,26.0%,1,1.80元/平米/月,住宅
颐景轩,越秀-五羊新城-江月路13-17号,95333,2001年,70年,2.50,20.0%,1,3.80元/平米/月,住宅
青菜东社区,越秀-建设-华乐路,45388,2006年,70年,2.50,34.0%,0,2.00元/平米/月,住宅
羊和园,越秀-共和路-共和三路9号,68599,1997年,70年,2.50,40.0%,1,0.75元/平米/月,住宅
锦桦大厦,越秀-东川-东华东路351号,62255,2001年,70年,6.93,20.0%,1,1.50元/平米/月,住宅
东华东路小区,越秀-东山口-东华东路,63346,1990年,70年,1.20,20.0%,0,0.50元/平米/月,住宅
执信南路小区,越秀-农林下路-执信南路,51294,1999年,70年,2.50,30.0%,1,1.10元/平米/月,住宅
北秀花园(越秀),越秀-小北-天香街3-9号,74931,1993年,70年,3.70,31.0%,1,1.80元/平米/月,住宅
珠光小北御景,越秀-小北-小北路198号,92605,2009年,70年,2.50,25.0%,1,2.50元/平米/月,住宅
盈基大厦,越秀-东湖-东船上街街口1号,49690,2001年,70年,2.50,30.0%,1,1.20元/平米/月,住宅
御东和府,"越秀-农林下路-农林下路35,39号",79895,2009年,70年,2.50,30.0%,1,2.70元/平米/月,住宅
德安大厦,越秀-建设-建设四马路3号,71240,2004年,70年,2.50,10.0%,1,1.98元/平米/月,住宅
越华路小区,越秀-北京路-越华路,36934,2014年,70年,2.50,36.0%,1,0.60元/平米/月,住宅
新世界棕榈园,越秀-二沙岛-大通路25号,169740,2000年,70年,1.20,34.0%,1,6.60元/平米/月,住宅
方兴竹雅苑,越秀-流花-温泉新街14-20号,42870,2015年,70年,2.19,37.0%,1,2.60元/平米/月,住宅
东园新村(越秀),越秀-中山路-农林东路,58695,1980年,70年,2.80,36.0%,0,1.20元/平米/月,住宅
百好居,越秀-东山口-中山一路96-98号,67970,1995年,70年,3.60,29.0%,1,1.20元/平米/月,住宅
逸雅居,越秀-建设-建设大马路8-5号,66086,2000年,70年,2.43,30.0%,0,2.30元/平米/月,住宅
建设四马路小区,越秀-建设-建设四马路26-43号,51509,1996年,70年,1.80,26.0%,1,0.90元/平米/月,住宅
北京大厦,越秀-北京路-北京路68号,59591,1999年,70年,2.50,25.0%,0,1.90元/平米/月,住宅
海印花园,越秀-大沙头-大沙头马路27号之1,62154,1999年,70年,6.17,30.0%,1,0.90元/平米/月,住宅
和风雅居,越秀-东山口-梅花路8号,73500,2002年,70年,3.80,35.0%,1,2.10元/平米/月,住宅
精彩生活大厦,越秀-北京路-文明路36-48号,76541,2011年,70年,2.50,30.0%,0,0.90元/平米/月,住宅
仁安新街大院,越秀-小北-小北路202号,56576,1996年,70年,1.90,38.0%,1,0.90元/平米/月,住宅
联发名阁,越秀-东川-东华南路172号,59940,2000年,70年,5.21,20.0%,1,1.80元/平米/月,住宅
东山锦轩,越秀-东山口-农林下路4-6号,72529,2002年,70年,7.50,10.0%,1,2.40元/平米/月,住宅
仓前大厦,越秀-西门口-仓前街58号,32857,2001年,70年,3.10,16.8%,1,1.20元/平米/月,住宅
广轻大院,越秀-盘福-医国后街1号,41747,1990年,70年,1.50,20.0%,0,0.90元/平米/月,住宅
五羊新城(E区),越秀-五羊新城-寺右南三街,48085,1991年,70年,2.00,40.0%,1,0.50元/平米/月,住宅
华侨新村光明路小区,越秀-淘金-光明路,69479,1998年,70年,2.00,24.0%,0,0.50元/平米/月,住宅
嘉富广场,越秀-水荫路-水荫横路55-63号,60902,2004年,70年,4.60,40.0%,1,2.50元/平米/月,住宅
大德路小区,越秀-西门口-大德路135号,26724,1995年,70年,2.30,12.0%,0,0.90元/平米/月,住宅
银山大厦,越秀-农讲所-仓边路93-95号,62712,1999年,70年,1.00,20.0%,0,0.90元/平米/月,住宅
粤港大厦,越秀-东山口-龟岗大马路4号,71494,1999年,70年,5.65,21.0%,1,1.05元/平米/月,住宅
海珠中路小区,越秀-西门口-海珠中路169号,29606,1995年,70年,1.50,25.0%,1,1.00元/平米/月,住宅
象岗山小区,越秀-解放北-解放北路,36093,2005年,70年,1.50,35.0%,1,1.00元/平米/月,住宅
荔湾西华路小区,荔湾-陈家祠-西华路300-600号,31382,1994年,70年,3.11,17.0%,1,0.90元/平米/月,住宅
广东省地质局大院,越秀-东风东-东风东路741号,44540,2005年,70年,2.00,12.0%,0,1.00元/平米/月,住宅
广东电视台大院,越秀-环市东-环市东路331-333号,57142,1991年,70年,2.50,30.0%,1,1.20元/平米/月,住宅
聚龙明珠花园,越秀-二沙岛-大通路,123134,2002年,70年,1.33,30.0%,1,4.00元/平米/月,住宅
东山公馆,越秀-农林下路-农林下路11号,58212,2005年,70年,2.50,30.0%,1,1.80元/平米/月,住宅
越秀花苑大厦,越秀-小北-小北路219-233号,52825,1997年,70年,4.20,38.0%,1,1.80元/平米/月,住宅
天秀大厦,越秀-小北-环市中路300号,38200,1995年,70年,2.10,10.0%,1,1.40元/平米/月,住宅
青龙坊小区,越秀-建设-青龙坊,42895,2002年,70年,1.60,40.0%,1,0.60元/平米/月,住宅
梅花路电力设计院宿舍,越秀-东风东-梅花路65号,70711,1999年,70年,2.00,35.0%,0,0.60元/平米/月,住宅
嘉骏苑,越秀-东川-白云路89号,50925,1999年,70年,4.20,36.0%,0,1.50元/平米/月,住宅
盘福社区,越秀-盘福-盘福路,44980,1992年,70年,1.50,20.0%,1,0.50元/平米/月,住宅
黄华路小区,越秀-建设-黄华路,48267,1990年,70年,2.00,34.0%,1,0.80元/平米/月,住宅
豪贤路小区,越秀-农讲所-豪贤路85-178号,43058,1970年,70年,2.57,35.0%,1,暂无,住宅
豆腐寮,越秀-小北-大华街12号,64361,2001年,70年,3.50,35.0%,1,0.60元/平米/月,住宅
新河浦雅居小区,越秀-东山口-恤孤院路11号,77941,1999年,70年,4.70,30.0%,1,1.20元/平米/月,住宅
五号公馆,越秀-北京路-北京路5号,68083,2009年,70年,2.50,80.0%,1,2.50元/平米/月,住宅
华荟大厦,越秀-北京路-万福路19-95号,55544,2003年,70年,2.50,22.0%,1,1.30元/平米/月,住宅
金麓山庄,越秀-麓湖-下塘西路131-157号,36461,2004年,70年,6.80,41.0%,1,1.50元/平米/月,住宅
海景农林华府,越秀-农林下路-犀牛路,89500,2013年,70年,9.55,30.0%,1,3.80元/平米/月,住宅
水荫翠苑,越秀-水荫路-水荫路70-80号,66521,2005年,70年,4.00,20.0%,1,1.30元/平米/月,住宅
荣华南社区,越秀-东川-荣华南62号,50802,1997年,70年,1.65,20.0%,1,0.50元/平米/月,住宅
丽苑大厦(越秀),越秀-东川-东华西路113号,40897,1999年,70年,2.50,20.0%,1,1.00元/平米/月,住宅
三眼井小区,越秀-小北-应元路,62872,2000年,70年,1.50,30.0%,1,0.90元/平米/月,住宅
嘉洲翠庭,"越秀-小北-应元路113号,115号",81952,2001年,70年,2.70,30.0%,1,2.50元/平米/月,住宅
菜园东小区,越秀-东山口-东华东街,51397,1992年,70年,1.20,35.0%,1,0.50元/平米/月,住宅
宜安里,越秀-北京路-宜安里1号,44883,2000年,70年,1.50,30.0%,0,0.90元/平米/月,住宅
海印苑小区,越秀-东湖-合群一马路133-135号,69084,1999年,70年,4.46,32.0%,1,0.90元/平米/月,住宅
金亚花园,越秀-二沙岛-大通路,146892,1998年,70年,0.28,40.0%,0,6.90元/平米/月,住宅
金贵小区,越秀-广园东-金贵街,25250,1998年,70年,2.50,30.0%,1,0.50元/平米/月,住宅
朱紫寮,越秀-小北-朱紫寮1-52号,55705,2000年,70年,2.32,30.0%,0,0.90元/平米/月,住宅
越秀北路小区,越秀-小北-越秀北路81号,52602,1997年,70年,2.60,28.0%,1,0.65元/平米/月,住宅
广州海运集团明月住宅小区,越秀-五羊新城-明月一路60号,64847,1996年,70年,2.70,12.0%,0,0.90元/平米/月,住宅
绿景东山华庭,越秀-大沙头-东船上街14-42号,67314,2007年,70年,2.23,30.8%,1,2.50元/平米/月,住宅
花园新村,越秀-大沙头-大沙头二马路38号,36694,2008年,70年,4.00,40.0%,1,0.60元/平米/月,住宅
东雅轩小区,越秀-东山口-中山二路菜园东19号,60511,2001年,70年,3.40,30.0%,0,1.80元/平米/月,住宅
启明社区,越秀-东山口-启明横马路17号,87000,1989年,70年,1.20,38.0%,0,0.50元/平米/月,住宅
水荫路45号大院,越秀-水荫路-水荫路45号,44871,1999年,70年,1.50,20.0%,1,0.90元/平米/月,住宅
北较场横路18号大院,越秀-建设-北较场横路18号,32200,1990年,70年,1.20,35.0%,1,2.30元/平米/月,住宅
好世界公寓,越秀-建设-建设五马路29号,48706,2006年,70年,2.50,20.0%,1,3.80元/平米/月,住宅
一德花园,越秀-解放南-解放南路与一德路交叉路端,42008,1997年,70年,4.97,15.0%,1,2.00元/平米/月,住宅
雅景花园,越秀-水荫路-水荫路29号,47600,1999年,70年,3.30,20.0%,1,2.00元/平米/月,住宅
淘金北路正平北街小区,越秀-淘金-正平北街,45800,1990年,70年,2.10,20.0%,1,1.20元/平米/月,住宅
较场东路小区,越秀-东川-较场东路5-14号,56764,1995年,70年,2.36,23.54%,0,0.68元/平米/月,住宅
光塔路小区,越秀-西门口-光塔路,34081,2007年,70年,3.50,30.0%,0,1.20元/平米/月,住宅
富宏花园,越秀-小北-应元路76号,61411,2008年,70年,2.66,37.0%,1,1.70元/平米/月,住宅
东山欣园,越秀-五羊新城-寺右一马路189-193号,98652,2007年,70年,3.80,35.0%,1,2.50元/平米/月,住宅
德兴苑,越秀-解放南-一德路398-400号,35200,1998年,70年,2.50,30.0%,1,1.50元/平米/月,住宅
淘金半山豪庭,越秀-淘金-淘金街12号,90542,2021年,70年,3.19,33.0%,1,6.19元/平米/月,住宅
黄花新村,越秀-环市东-环市东路,43750,1996年,70年,1.00,35.0%,1,1.50元/平米/月,住宅
福恩里小区,越秀-北京路-中山四路,47661,1990年,70年,2.00,33.0%,0,1.00元/平米/月,住宅
珠江园,越秀-北京路-文德南路58号,43510,1995年,70年,2.00,40.0%,1,0.90元/平米/月,住宅
文德雅轩,越秀-北京路-聚仁坊9号,74090,2003年,70年,5.00,30.0%,1,2.00元/平米/月,住宅
小北大厦,越秀-小北-小北路126-134号,59188,1995年,70年,2.85,15.0%,1,0.90元/平米/月,住宅
嘉颐居,"越秀-建设-建设二马路东六街9号,10号",72430,2005年,70年,9.23,46.0%,1,1.80元/平米/月,住宅
越秀南社区,越秀-农讲所-越秀南路,60789,1995年,70年,1.50,20.0%,0,0.90元/平米/月,住宅
淘金公馆,越秀-淘金-淘金东路100号,60866,2006年,70年,5.30,40.0%,0,1.00元/平米/月,住宅
侨福苑,越秀-淘金-淘金坑66-68号,49798,1995年,70年,1.60,20.0%,1,2.60元/平米/月,住宅
小石街新街小区,越秀-小北-小石街新街,66133,1996年,70年,1.50,16.0%,0,0.90元/平米/月,住宅
仰忠街小区,越秀-北京路-仰忠街,61929,1980年,70年,2.00,15.0%,1,0.80元/平米/月,住宅
城启恒华阁,越秀-淘金-淘金北路71-73号,55071,2003年,70年,5.00,30.0%,1,1.30元/平米/月,住宅
水荫路34号大院,越秀-水荫路-水荫路34号,65478,1992年,70年,1.50,40.0%,1,0.60元/平米/月,住宅
花果山庄,越秀-环市东-西胜街,36000,2000年,70年,2.65,50.0%,1,1.00元/平米/月,住宅
署前二街小区,越秀-东山口-署前二街,49933,1996年,70年,2.00,20.0%,1,1.00元/平米/月,住宅
魁巷小区,越秀-北京路-解放中路,33293,1996年,70年,2.00,20.0%,1,10.00元/平米/月,住宅
科苑社区,越秀-黄花岗-先烈中路81号,48565,2004年,70年,2.60,30.0%,1,0.90元/平米/月,住宅
清水濠小区,越秀-农讲所-德政中路,43710,1996年,70年,4.00,40.0%,1,0.50元/平米/月,住宅
广信顺景大厦,越秀-五羊新城-东山寺右二横路19号,49074,1998年,70年,2.50,10.0%,1,1.20元/平米/月,住宅
建设三马路小区,越秀-建设-建设三马路,48544,1996年,70年,2.00,10.0%,0,0.90元/平米/月,住宅
国投宿舍,越秀-建设-黄华路14号,42563,1995年,70年,2.00,10.0%,0,2.00元/平米/月,住宅
环市东路468号大院,越秀-环市东-环市东路468号,51020,1995年,70年,1.50,20.0%,1,0.90元/平米/月,住宅
富力宜居,越秀-东川-广九大马路13号,56223,2006年,70年,4.68,20.0%,0,2.00元/平米/月,住宅
中山六路小区,越秀-西门口-中山六路,38091,1990年,70年,2.60,15.0%,0,0.90元/平米/月,住宅
中曦大厦,越秀-解放南-解放中路306号,48500,2001年,70年,7.61,34.0%,1,2.00元/平米/月,住宅
新达城公寓,越秀-水荫路-水荫二横路27号,48718,2000年,70年,4.00,15.0%,1,1.98元/平米/月,住宅
金迪大厦,越秀-杨箕-泰兴直街50号,47911,1999年,70年,5.01,10.0%,1,1.30元/平米/月,住宅
金山阁,越秀-五羊新城-文化里11号,58156,2000年,70年,2.50,10.0%,1,1.80元/平米/月,住宅
吉庆东小区,越秀-农讲所-吉庆东路2-4号,36600,1990年,70年,1.20,20.0%,1,0.50元/平米/月,住宅
康丽居,越秀-北京路-德政中路19号,57695,2000年,70年,2.50,20.0%,1,1.50元/平米/月,住宅
共和二路小区,越秀-共和路-共和二路,64915,1997年,70年,2.30,20.0%,0,0.50元/平米/月,住宅
东华西仁秀里,越秀-东川-仁秀里,35680,1995年,70年,2.80,42.0%,1,0.50元/平米/月,住宅
广工大院,越秀-环市东-环市东路463号,50958,1991年,70年,1.39,40.0%,1,1.00元/平米/月,住宅
海印综合大楼,越秀-大沙头-沿江东路429号,57906,2002年,70年,2.50,30.0%,0,0.90元/平米/月,住宅
白云路45号小区,越秀-东川-白云路45号,29400,1999年,70年,1.20,20.0%,0,0.50元/平米/月,住宅
达道雅轩,越秀-共和路-共和西路2-4号,77147,2011年,70年,5.00,30.0%,1,0.90元/平米/月,住宅
狮带岗小区,越秀-麓湖-麓景路,36953,1997年,70年,2.60,25.0%,1,0.40元/平米/月,住宅
麓景雅苑,越秀-麓湖-麓景路86-98号,53571,2006年,70年,3.20,30.0%,1,2.00元/平米/月,住宅
惠雅阁,越秀-东风东-东风东路617号,39600,2000年,70年,2.50,10.0%,1,1.80元/平米/月,住宅
濠畔商厦,越秀-一德路-海珠南路276-296号,11434,1999年,70年,2.50,15.0%,1,2.80元/平米/月,住宅
大新大厦,越秀-解放南-大新路280-314号,36355,2006年,70年,3.00,28.0%,1,1.20元/平米/月,住宅
天兴大厦,越秀-中山路-中山一路21-23号,39400,1997年,70年,4.55,32.0%,1,0.90元/平米/月,住宅
泰峰大厦,越秀-盘福-盘福路22-2号,46200,2005年,70年,3.80,26.0%,1,1.30元/平米/月,住宅
山海城,越秀-解放南-一德路369-373号,43600,2002年,70年,2.50,30.0%,0,1.60元/平米/月,住宅
中山四路小区,越秀-农讲所-中山四路166号,39119,1995年,70年,2.50,35.0%,0,1.20元/平米/月,住宅
淘金花园,越秀-淘金-恒福路108号,40000,1993年,70年,2.80,25.0%,1,2.10元/平米/月,住宅
颐和雅轩,越秀-小北-洪桂新街1-5号,90000,2010年,70年,2.50,35.0%,1,2.60元/平米/月,住宅
俊逸阁,越秀-农讲所-大塘街62-66号,56943,2005年,70年,2.50,30.0%,1,1.50元/平米/月,住宅
丽水坊小区,越秀-北京路-越秀南路,41000,1997年,70年,2.00,40.0%,0,2.50元/平米/月,住宅
麓湖盛景,越秀-麓湖-麓景西路36号,44200,2004年,70年,3.50,28.6%,1,2.50元/平米/月,住宅
惠福西路大院,越秀-西门口-惠福西路,27540,1990年,70年,1.50,10.0%,1,0.90元/平米/月,住宅
广信黄田小区,越秀-麓湖-麓景路113号,37400,1990年,70年,2.00,35.0%,1,0.80元/平米/月,住宅
东兴南路小区,越秀-五羊新城-东兴南路1-109号,45000,1993年,70年,2.60,35.0%,0,暂无,住宅
仓边路小区,越秀-农讲所-仓边路32号,48234,1996年,70年,2.50,36.0%,1,1.10元/平米/月,住宅
二沙岛云影花园,越秀-二沙岛-云影街,127493,1999年,70年,1.00,17.0%,1,3.50元/平米/月,住宅
天河区政府机关宿舍,越秀-环市东-云鹤南街18号,36800,2000年,70年,1.20,30.0%,0,0.80元/平米/月,住宅
