小区,小区地址,PRI,AGE,YEAR,FAR,GRE,CAR,PRO,物业类型
凯德天河新作,天河-天河北-天河东路77-83号,92812,2006年,70年,5.00,30.0%,1,3.50元/平米/月,住宅
富力天禧,天河-车陂-车陂北街,54953,2015年,70年,2.60,30.0%,1,0.90元/平米/月,住宅
保利丰兴广场,天河-体育中心-天河南二路27号,63358,2002年,70年,2.50,35.0%,1,1.95元/平米/月,住宅
广氮新村,天河-车陂-车陂北街22号,23875,1985年,70年,6.00,30.0%,1,0.60元/平米/月,住宅
富力花园,天河-东圃-富力街1-39号,27000,1996年,70年,2.00,15.0%,1,0.60元/平米/月,住宅
保利林海山庄,天河-龙洞-天源路,39973,2006年,70年,2.10,60.0%,1,2.38元/平米/月,住宅
东晖花园,天河-天河公园-天府路153号,70835,1999年,70年,3.00,30.0%,1,1.50元/平米/月,住宅
荟雅苑,天河-林和-天河北路253号,67723,1997年,70年,3.12,26.0%,1,2.70元/平米/月,住宅
誉城苑,天河-珠江新城东-临江大道,56364,2001年,70年,3.00,25.0%,1,5.00元/平米/月,住宅
高德公馆,天河-珠江新城中-冼村路16号,122077,2008年、2013年,70年,8.30,30.0%,1,4.30元/平米/月,住宅
嘉裕礼顿阳光公寓,天河-珠江新城西-华成路8号,56277,2006年,70年,1.50,40.0%,1,3.50元/平米/月,住宅
珠江嘉苑,天河-岑村-沐陂西路18号,33620,2010年,70年,2.50,30.0%,1,2.80元/平米/月,住宅
育龙居,天河-龙洞-天源路1111号,37168,2000年,70年,2.30,40.0%,1,1.00元/平米/月,住宅
富力院士庭,天河-东莞庄-东莞庄路72号,55830,2007年,70年,3.20,30.0%,1,2.80元/平米/月,住宅
侨英花园,天河-粤垦-粤垦路1号,49288,2006年,70年,3.00,30.0%,1,1.80元/平米/月,住宅
六运六街小区,天河-石牌-六运六街,51391,1995年,70年,1.50,20.0%,1,0.65元/平米/月,住宅
富力天河华庭,天河-林和-华庭路3-5号,99275,2006年,70年,2.50,30.0%,1,2.50元/平米/月,住宅
金海花园,天河-天河北-天河北路614号,71612,1998年,70年,2.83,30.0%,1,2.50元/平米/月,住宅
汇景新城世家,天河-汇景新城-汇景北路138号,88532,2010年,70年,1.63,40.0%,1,3.00元/平米/月,住宅
名门大厦,天河-珠江新城西-花城大道2-12号,51891,2007年,70年,7.50,10.0%,1,2.10元/平米/月,住宅
天荟公馆,天河-员村-山顶街1号,89676,2015年,70年,5.40,35.0%,1,3.50元/平米/月,住宅
日出观山苑,天河-粤垦-粤垦路498号,55710,2013年,70年,3.20,40.0%,1,1.95元/平米/月,住宅
宝兴翠园,天河-东圃-中山大道中1118号,68381,2017年,70年,2.00,35.0%,1,2.80元/平米/月,住宅
海景花园,天河-天河公园-黄埔大道中203号,65953,2001年,70年,3.80,40.0%,1,1.80元/平米/月,住宅
珠江别墅,天河-珠江新城中-猎德大道108号,208393,2004年,70年,0.67,44.3%,0,6.00元/平米/月,别墅
天文苑,天河-体育西路-体育西路105号,77829,2003年,70年,6.26,30.0%,1,1.90元/平米/月,住宅
金地天河公馆,天河-珠吉-大灵山路,55000,2019年,70年,3.00,35.0%,1,3.80元/平米/月,住宅
天河广场,天河-东圃-中山大道中268号,30970,1996年,70年,3.00,15.0%,1,1.30元/平米/月,住宅
保利天汇,天河-小新塘-棠馨南大街1号,52040,2022年,70年,2.55,16.0%,1,2.80元/平米/月,住宅
陶然庭苑,天河-天河公园-华景北路255号,58225,2007年,70年,3.60,35.0%,1,1.80元/平米/月,住宅
汇景新城中央庭院,天河-汇景新城-大丰二街,103000,2009年,70年,2.01,40.0%,1,4.00元/平米/月,住宅
育蕾小区,天河-体育西路-体育西路三街12号,52053,1993年,70年,1.50,40.0%,1,0.60元/平米/月,住宅
历徳雅舍,天河-天河公园-中山大道西209号,70034,2003年,70年,3.40,65.0%,1,2.18元/平米/月,住宅
金碧翡翠华庭,天河-龙口西-天润路467号,70009,2004年,70年,7.14,35.0%,1,1.88元/平米/月,住宅
嘉宝华庭,天河-体育中心-天河东路220号,60909,2008年,70年,4.90,35.0%,1,2.50元/平米/月,住宅
侨源山庄,天河-粤垦-粤垦路,32666,1998年,70年,3.75,20.0%,1,1.00元/平米/月,住宅
尚东美御,天河-珠江新城中-猎德大道46-48号,105211,2007年,70年,7.00,35.0%,1,2.80元/平米/月,住宅
珠江花城,天河-珠吉-东圃岐山183号,46557,2024年,70年,3.20,35.0%,1,2.80元/平米/月,住宅
珠江俊园,天河-天河公园-俊华街5号,70172,2004年,70年,1.77,28.0%,1,1.95元/平米/月,住宅
金穗大厦,天河-体育西路-广州大道中900号,39122,1997年,70年,6.00,30.0%,1,1.80元/平米/月,住宅
骏逸苑,天河-珠江新城中-潭村路10号,80704,2001年,70年,1.96,25.0%,0,1.50元/平米/月,住宅
鸿翔大厦,天河-龙口东-天河北路615号,52285,2000年,70年,2.50,12.0%,1,1.90元/平米/月,住宅
富力万科云启,天河-车陂-车陂北街,64400,2018年,70年,4.06,30.0%,1,4.50元/平米/月,住宅
华标广场,天河-龙口东-天河北路601号,66946,2001年,70年,4.80,45.0%,1,1.95元/平米/月,住宅
珠江都荟,天河-珠江新城西-华利路25号,109579,2011年,70年,3.80,35.0%,1,3.60元/平米/月,住宅
天力居,天河-东圃-东圃大马路2号,34797,1998年,70年,3.11,40.0%,1,0.80元/平米/月,住宅
德欣小区,天河-岗顶-天河东路96-3号,46786,1995年,70年,3.00,20.0%,1,0.60元/平米/月,住宅
阳光假日园,天河-棠东-泰安南路98-112号,46566,2010年,70年,3.00,39.2%,1,2.60元/平米/月,住宅
金碧华府,天河-珠江新城东-花城大道742号,126615,2004年,70年,4.28,35.0%,1,3.50元/平米/月,住宅
天河北苑,天河-沙太南-沙太南路274-320号,34606,1999年,70年,1.37,40.0%,1,0.60元/平米/月,住宅
尚德大厦,天河-天河北-五山路141号,51507,2008年,70年,8.26,16.0%,1,2.50元/平米/月,住宅
珠江新城海滨花园,天河-珠江新城东-临江大道399号,142399,2000年,70年,2.94,30.0%,1,2.50元/平米/月,住宅
南国嘉园苹果城,天河-东圃-中山大道中238号,45306,2003年,70年,3.76,31.0%,1,1.50元/平米/月,住宅
东成花苑,天河-员村-黄埔大道中187-1号,41079,2005年,70年,3.00,20.0%,1,0.40元/平米/月,住宅
尚东柏悦府,天河-珠江新城东-花城大道,245018,2020年,70年,3.50,37.0%,1,8.50元/平米/月,住宅
佳润临江上品,天河-员村-临江大道,38400,2012年,70年,2.62,34.0%,1,4.80元/平米/月,住宅
阳光都会广场,天河-岗顶-石牌东路133号,56113,2004年,70年,3.57,50.0%,1,1.79元/平米/月,住宅
MBA国际公寓,天河-岗顶-黄埔大道西505号,35807,2006年,70年,2.50,30.0%,1,2.50元/平米/月,住宅
凯旋新世界广粤尊府,天河-珠江新城东-海风路,259125,2012年,70年,2.64,44.0%,1,6.50元/平米/月,住宅
天成大厦,天河-龙口东-龙口西路98号,59685,1996年,70年,2.30,20.0%,1,1.80元/平米/月,住宅
瑞心苑小区,天河-粤垦-粤垦路,71041,2001年,70年,2.30,30.0%,1,1.40元/平米/月,住宅
翠拥华庭,天河-车陂-车陂路426号,40586,2008年,70年,4.47,25.0%,1,3.00元/平米/月,住宅
天汇广场天銮,天河-珠江新城中-临江大道59号,165482,2013年,50年,5.00,30.0%,0,6.50元/平米/月,商住楼
九洲海誉居,天河-东莞庄-东莞庄路120号,68463,2018年,70年,4.60,30.0%,1,4.00元/平米/月,住宅
东荣翰林苑,天河-长兴-长兴路297-299号,51562,2009年,70年,3.00,37.0%,1,1.80元/平米/月,住宅
理想蓝堡国际花园,天河-天河公园-东方三路,76654,2004年,70年,4.50,30.0%,1,2.10元/平米/月,住宅
南雅苑小区,天河-体育西路-体育东横街6号,55856,1993年,70年,2.50,36.0%,1,0.60元/平米/月,住宅
德荣小区,天河-天河北-天河东路218-268号,52063,1999年,70年,2.50,38.0%,1,0.65元/平米/月,住宅
龙岗东小区,天河-沙河-龙岗东路,26200,2001年,70年,1.50,15.0%,1,0.80元/平米/月,住宅
暨南花园,天河-岗顶-羊城路,60193,1997年,70年,2.90,50.0%,1,1.20元/平米/月,住宅
车陂南楼,天河-车陂-车陂路,15847,2010年,70年,2.00,10.0%,1,0.90元/平米/月,住宅
珠江华景里,天河-天河公园-华景东路,83899,2014年,70年,2.96,31.0%,1,2.40元/平米/月,住宅
丽晶华庭,天河-珠江新城西-金穗路22-30号,54535,2000年,70年,2.00,10.0%,1,1.80元/平米/月,住宅
伟腾天逸名都,天河-天河北-龙口中路152号,58407,2004年,70年,2.50,30.0%,1,1.50元/平米/月,住宅
星汇雅苑,天河-珠江新城东-潭村路16号,94803,2006年,70年,2.80,35.0%,1,0.90元/平米/月,住宅
粤海丽江花园,天河-珠江新城东-金穗路77-79号,116083,2008年,70年,7.00,30.0%,1,3.80元/平米/月,住宅
誉峰,天河-珠江新城东-金穗路711号,163868,2007年,70年,6.52,45.0%,1,4.30元/平米/月,住宅
时尚明苑,天河-车陂-中山大道中77号,48840,2006年,70年,3.05,40.0%,1,1.60元/平米/月,住宅
珠江颐德公馆,天河-珠江新城东-花城大道,219317,2011年,70年,1.20,41.0%,1,5.00元/平米/月,住宅
芳满庭园,天河-天河公园-华景北路,60435,2007年,70年,3.20,35.0%,1,1.50元/平米/月,住宅
东园小区,天河-岗顶-石牌西横街6-2号,44158,1992年,70年,1.00,20.0%,1,0.50元/平米/月,住宅
南兴花园,天河-天河客运站-元岗路337号,35294,2004年,70年,2.92,45.0%,1,0.80元/平米/月,住宅
建设局宿舍(天河林和西路),天河-林和-天河林和西路115号,40600,1996年,70年,1.50,28.0%,1,0.90元/平米/月,住宅
建丽花园,天河-长兴-长兴路342-472号,38314,2005年,70年,1.40,35.0%,0,1.00元/平米/月,住宅
边检大院,天河-天河北-龙口西路187号,56561,1990年,70年,1.10,25.0%,0,1.45元/平米/月,住宅
半山翠庭,天河-五山-贤韵街17-45号,45943,1999年,70年,2.90,35.4%,1,1.00元/平米/月,住宅
广弘天琪,天河-珠江新城西-华利路27号,109785,2009年,70年,9.45,35.0%,1,3.00元/平米/月,住宅
华康小区,天河-天河北-华康街22-24号,56659,1998年,70年,3.10,30.0%,1,0.90元/平米/月,住宅
邮通住宅小区,天河-天河公园-中山大道西139号,53000,1999年,70年,3.50,30.0%,1,0.90元/平米/月,住宅
方圆月岛,天河-珠江新城中-花城大道55号,113364,2009年,70年,2.50,35.0%,1,3.30元/平米/月,住宅
侨源新邨,天河-粤垦-燕都路44号-56号,27000,1997年,70年,3.00,30.0%,0,1.20元/平米/月,住宅
旭日雅苑幸福里,天河-员村-员村西街,56407,2014年,70年,3.06,35.0%,1,2.80元/平米/月,住宅
雅怡居,天河-东圃-雅怡街40号,30163,2000年,70年,3.59,20.0%,1,0.60元/平米/月,住宅
华南农业大学嵩山区,天河-五山-五山路483号,81797,1995年,70年,1.20,20.0%,1,0.40元/平米/月,住宅
怡苑小区,天河-天河北-华阳街55-79号,83108,2000年,70年,7.21,43.0%,1,8.10元/平米/月,住宅
春江花园,天河-棠东-棠东东路112-128号,35381,2002年,70年,3.10,30.0%,1,1.50元/平米/月,住宅
龙口花苑,天河-天河北-龙口西路,59792,2002年,70年,2.18,32.0%,1,2.50元/平米/月,住宅
金坤花园,天河-粤垦-粤垦路189号,34832,1998年,70年,1.80,20.0%,1,0.80元/平米/月,住宅
美林湖畔誉府,天河-东圃-桃园西路632-616号,62291,2013年,70年,2.08,37.4%,1,2.75元/平米/月,住宅
半山溪谷E墅,天河-东圃-悦景路2号,57446,2010年,70年,1.00,50.0%,1,2.80元/平米/月,住宅
瑞华大厦,天河-华师-五山路263-265号,41472,1998年,70年,2.50,20.0%,1,1.70元/平米/月,住宅
天晟明苑,天河-岗顶-石牌西路111-119号,47492,2003年,70年,2.50,25.0%,1,2.00元/平米/月,住宅
天一新村,天河-东莞庄-东莞庄路126号-6号(单号),37681,2008年,70年,1.20,30.0%,1,0.55元/平米/月,住宅
燕塘大院,天河-燕塘-燕塘路,33821,2002年,70年,2.40,39.0%,1,0.50元/平米/月,住宅
汇景新城上城峰境,天河-汇景新城-汇景北路64号,97316,2005年,70年,2.63,35.0%,0,3.00元/平米/月,住宅
天翔花园,天河-天河北-天河北路,54279,2004年,70年,3.30,34.0%,1,3.30元/平米/月,住宅
仙湖名苑,天河-天河公园-华翠街66号,57427,2000年、2005年,70年,2.50,30.0%,1,1.20元/平米/月,住宅
南苑小区,天河-岗顶-黄埔大道西463号,52913,2000年,70年,1.50,20.0%,1,1.50元/平米/月,住宅
都市华庭(天河),天河-天河北-天河北路358-378号,66968,2004年,70年,3.80,35.0%,1,2.60元/平米/月,住宅
金富苑,天河-龙怡路-五山路269-291号,52002,1999年,70年,1.80,30.0%,1,0.80元/平米/月,住宅
天鑫六运小区,天河-体育西路-天河南一路,51094,1993年,70年,1.50,30.0%,1,0.60元/平米/月,住宅
叠翠台,天河-天河公园-天府路289号,66733,2000年,70年,3.72,20.0%,1,1.50元/平米/月,住宅
中海观园国际,天河-珠江新城东-金穗路,150681,2007年,70年,7.00,40.0%,1,4.30元/平米/月,住宅
远东大厦,天河-天河北-林和街230-244号,59788,1997年,70年,10.13,32.0%,1,2.00元/平米/月,住宅
君怡大厦,天河-珠江新城东-金穗路935号,74126,2000年,70年,3.00,35.0%,1,2.10元/平米/月,住宅
隽峰苑,天河-珠江新城中-兴盛路10号,110750,2008年,70年,8.30,30.0%,1,3.50元/平米/月,住宅
领汇国际公寓,天河-东圃-菁映路,36586,2007年,70年,2.90,30.0%,1,1.98元/平米/月,住宅
金兴花园,天河-员村-金兴一街,48943,1996年,70年,2.40,12.0%,1,0.50元/平米/月,住宅
祥龙花园,天河-林和-天河北路177号,45531,2000年,70年,2.50,15.0%,0,0.90元/平米/月,住宅
远洋明苑,天河-黄村-杨桃西路636-637号,36519,2003年,70年,3.39,40.0%,1,1.25元/平米/月,住宅
园田居,天河-华师-天华街,41000,2000年,70年,2.60,30.0%,1,0.50元/平米/月,住宅
员村四横路5号大院,天河-员村-员村四横路5号,32929,1991年,70年,1.00,20.0%,1,0.60元/平米/月,住宅
紫荆小区,天河-林和-林和东路143号,56976,2000年,70年,2.67,35.0%,1,0.90元/平米/月,住宅
暨南大学苏州苑,天河-岗顶-黄埔大道西601号,56202,1990年,70年,1.20,20.0%,0,0.50元/平米/月,住宅
暨南大学羊城苑,天河-岗顶-黄埔大道西601号,65506,1990年,70年,1.20,20.0%,0,0.50元/平米/月,住宅
骏汇大厦,天河-体育西路-体育西路5-9号,57023,2001年,70年,2.50,10.0%,1,2.30元/平米/月,住宅
珠江太阳城广场,天河-珠江新城东-平川路611-613号,89749,2006年,70年,5.00,46.0%,1,1.95元/平米/月,住宅
新大厦国际公寓,天河-珠江新城西-华利路1号,66433,2003年,70年,1.80,30.0%,1,3.95元/平米/月,住宅
华师北区宿舍,天河-华师-翰景街,84640,1995年,70年,1.20,20.0%,1,0.50元/平米/月,住宅
天晖阁,天河-石牌-天河东路12-24号,58076,2006年,70年,2.50,32.0%,1,1.98元/平米/月,住宅
保利香槟花园,天河-珠江新城西-华穗路121号,115327,2004年,70年,4.70,36.0%,1,2.10元/平米/月,住宅
天河豪景花园,天河-沙河-广州大道北52号,33685,2005年,70年,4.80,31.0%,1,1.25元/平米/月,住宅
恒城大厦,天河-体育中心-黄埔大道西55号,43200,1996年,70年,2.00,30.0%,1,2.10元/平米/月,住宅
汇峰苑,天河-珠江新城中-兴盛路8号,127706,2008年,70年,8.30,30.0%,1,3.30元/平米/月,住宅
太阳广场,天河-龙怡路-龙口东路331-337号,49341,1996年,70年,6.50,32.0%,1,1.60元/平米/月,住宅
翠安侬苑,天河-天河公园-华景北路35-40号,57992,2002年,70年,2.00,38.0%,1,1.50元/平米/月,住宅
岗顶百脑汇,天河-岗顶-天河路596号,34696,2019年,70年,2.50,30.0%,0,0.90元/平米/月,住宅
东方都会广场,天河-天河公园-中山大道西192号,53017,2005年,70年,2.50,10.0%,1,1.87元/平米/月,住宅
昌乐园小区,天河-员村-员村二横路1号,47596,1994年,70年,0.40,35.0%,1,0.50元/平米/月,住宅
银汇华庭,天河-龙怡路-龙怡路115号,74904,2009年,70年,4.75,33.7%,1,2.10元/平米/月,住宅
天诚广场,天河-龙口东-龙口东路346-350号,56555,1999年,70年,5.90,35.0%,1,1.50元/平米/月,住宅
理想青年荟,天河-天河公园-东方三路35号,67524,2007年,70年,4.49,30.0%,1,1.96元/平米/月,住宅
伊顿18,天河-天河北-龙口西路194号,70978,2004年,70年,6.67,28.0%,1,2.35元/平米/月,住宅
南粤阁,天河-天河北-林和西横路215号,41223,2001年,70年,8.50,30.0%,1,1.00元/平米/月,住宅
易丰大厦,天河-员村-翠园街8号,57500,2010年,70年,2.18,30.0%,1,1.96元/平米/月,住宅
汇友苑,天河-东圃-东圃大马路9-13号,41482,2002年,70年,3.00,25.0%,1,1.00元/平米/月,住宅
华南植物园宿舍,天河-龙洞-天源路1190号,41600,1990年,70年,1.50,20.0%,1,0.50元/平米/月,住宅
漾晴居,天河-珠江新城西-华明路21号,86730,2001年,70年,6.86,43.6%,1,2.10元/平米/月,住宅
天河山庄,天河-沙河-沙和路15号,26823,2000年,70年,1.30,30.0%,1,0.80元/平米/月,住宅
穗东花园,天河-天河公园-华翠街13-41号,44473,1998年,70年,1.80,30.0%,1,0.58元/平米/月,住宅
金鼎大厦,天河-天河北-龙口西路373号,40086,1996年,70年,8.00,25.0%,1,1.50元/平米/月,住宅
云宁居,天河-沙太南-河水西大街35号,28859,1999年,70年,1.50,41.0%,1,1.20元/平米/月,住宅
穗乐花园,天河-员村-员村西街20-50号,33888,1997年,70年,2.50,35.0%,1,0.50元/平米/月,住宅
雅怡阁,天河-东圃-东圃大马路3-25号,30000,2000年,70年,2.50,20.0%,1,1.00元/平米/月,住宅
华景新城六期西区,天河-天河公园-华景路,53000,1998年,70年,3.80,30.0%,1,1.90元/平米/月,住宅
半山雍景苑,天河-五山-科华街511号,46856,2005年,70年,4.00,66.0%,1,2.30元/平米/月,住宅
金润大厦,天河-天河北-龙口西路361号,50201,2000年,70年,6.94,20.0%,1,1.77元/平米/月,住宅
保林苑,天河-珠江新城西-华就路6号,103000,2009年,70年,3.44,30.0%,1,2.00元/平米/月,住宅
