小区名字,小区地址,均价,容积率,绿化率,有无停车位,物业费,物业类型
珠江别墅,天河-珠江新城中-猎德大道108号,223910,0.67,44.3%,0,6.00元/平米/月,别墅
侨源山庄,天河-粤垦-粤垦路,32595,3.75,20.0%,1,1.00元/平米/月,住宅
德欣小区,天河-岗顶-天河东路96-3号,47489,3.00,20.0%,1,0.60元/平米/月,住宅
凯德天河新作,天河-天河北-天河东路77-83号,93142,5.00,30.0%,1,3.50元/平米/月,住宅
隽峰苑,天河-珠江新城中-兴盛路10号,113094,8.30,30.0%,1,3.50元/平米/月,住宅
骏逸苑,天河-珠江新城中-潭村路10号,82641,1.96,25.0%,0,1.50元/平米/月,住宅
金海花园,天河-天河北-天河北路614号,71891,2.83,30.0%,1,2.50元/平米/月,住宅
东晖花园,天河-天河公园-天府路153号,71132,3.00,30.0%,1,1.50元/平米/月,住宅
汇景新城中央庭院,天河-汇景新城-大丰二街,103000,2.01,40.0%,1,4.00元/平米/月,住宅
富力天河华庭,天河-林和-华庭路3-5号,100112,2.50,30.0%,1,2.50元/平米/月,住宅
都市华庭(天河),天河-天河北-天河北路358-378号,66847,3.80,35.0%,1,2.60元/平米/月,住宅
半山雍景苑,天河-五山-科华街511号,47660,4.00,66.0%,1,2.30元/平米/月,住宅
天河都市兰亭花园,天河-员村-员村二横路11号,58577,5.20,38.1%,1,1.50元/平米/月,住宅
南雅苑小区,天河-体育西路-体育东横街6号,55852,2.50,36.0%,1,0.60元/平米/月,住宅
珠江新城海滨花园,天河-珠江新城东-临江大道399号,147026,2.94,30.0%,1,2.50元/平米/月,住宅
华南理工大学南秀村小区,天河-五山-六峰山路,59536,1.50,44.0%,1,0.50元/平米/月,住宅
富力院士庭,天河-东莞庄-东莞庄路72号,55819,3.20,30.0%,1,2.80元/平米/月,住宅
城市假日园,天河-东圃-旭景西路,63469,3.22,25.0%,1,1.60元/平米/月,住宅
雅怡居,天河-东圃-雅怡街40号,31077,3.59,20.0%,1,0.60元/平米/月,住宅
六运六街小区,天河-石牌-六运六街,48417,1.50,20.0%,1,0.65元/平米/月,住宅
瑞安创逸,天河-天河北-天河北路622号,84800,7.46,30.0%,1,4.00元/平米/月,住宅
汇景新城世家,天河-汇景新城-汇景北路138号,88532,1.63,40.0%,1,3.00元/平米/月,住宅
峻林,天河-林和-林和东路261号,133002,6.15,30.0%,1,4.10元/平米/月,住宅
天力居,天河-东圃-东圃大马路2号,34885,3.11,40.0%,1,0.80元/平米/月,住宅
天一庄,天河-员村-康湖大街,54236,2.50,35.0%,1,1.78元/平米/月,住宅
保利中宇广场,天河-天河北-天河北路626号,86999,2.40,33.0%,1,2.50元/平米/月,住宅
仙湖名苑,天河-天河公园-华翠街66号,56970,2.50,30.0%,1,1.20元/平米/月,住宅
暨南花园,天河-岗顶-羊城路,60403,2.90,50.0%,1,1.20元/平米/月,住宅
五山花园,天河-五山-茶山路225号,59090,2.14,35.0%,1,0.70元/平米/月,住宅
隽悦园,天河-天河公园-天府路157号,86529,2.50,42.0%,1,2.29元/平米/月,住宅
新燕花园,天河-燕塘-燕岭路28号,47436,2.05,42.0%,1,1.50元/平米/月,住宅
领峰,天河-珠江新城中-金穗路,105019,8.30,40.0%,1,4.20元/平米/月,住宅
历徳雅舍,天河-天河公园-中山大道西209号,70748,3.40,65.0%,1,2.18元/平米/月,住宅
珠江太阳城广场,天河-珠江新城东-平川路611-613号,91747,5.00,46.0%,1,1.95元/平米/月,住宅
阳光假日园,天河-棠东-泰安南路98-112号,50196,3.00,39.2%,1,2.60元/平米/月,住宅
银汇华庭,天河-龙怡路-龙怡路115号,76559,4.75,33.7%,1,2.10元/平米/月,住宅
保利天汇,天河-小新塘-棠馨南大街1号,52180,2.55,16.0%,1,2.80元/平米/月,住宅
理想蓝堡国际花园,天河-天河公园-东方三路,83912,4.50,30.0%,1,2.10元/平米/月,住宅
龙口花苑,天河-天河北-龙口西路,58352,2.18,32.0%,1,2.50元/平米/月,住宅
华天国际广场,天河-龙口东-龙口中路201号,51803,3.80,10.0%,1,1.50元/平米/月,住宅
金碧华府,天河-珠江新城东-花城大道742号,126740,4.28,35.0%,1,3.50元/平米/月,住宅
富力天禧,天河-车陂-车陂北街,55975,2.60,30.0%,1,0.90元/平米/月,住宅
珠江嘉苑,天河-岑村-沐陂西路18号,33091,2.50,30.0%,1,2.80元/平米/月,住宅
海景花园,天河-天河公园-黄埔大道中203号,66303,3.80,40.0%,1,1.80元/平米/月,住宅
金碧翡翠华庭,天河-龙口西-天润路467号,69481,7.14,35.0%,1,1.88元/平米/月,住宅
阳华国花苑,天河-车陂-天坤三路,53413,3.00,25.0%,1,2.10元/平米/月,住宅
日出观山苑,天河-粤垦-粤垦路498号,55685,3.20,40.0%,1,1.95元/平米/月,住宅
陶然庭苑,天河-天河公园-华景北路255号,58053,3.60,35.0%,1,1.80元/平米/月,住宅
东璟花园,天河-员村-员村二横路,58901,4.99,30.0%,1,1.50元/平米/月,住宅
天文苑,天河-体育西路-体育西路105号,79045,6.26,30.0%,1,1.90元/平米/月,住宅
德埔小区,天河-岗顶-黄埔大道西321号,51258,1.50,36.0%,1,0.90元/平米/月,住宅
天翔花园,天河-天河北-天河北路,54495,3.30,34.0%,1,3.30元/平米/月,住宅
祥龙花园,天河-林和-天河北路177号,45336,2.50,15.0%,0,0.90元/平米/月,住宅
方圆月岛,天河-珠江新城中-花城大道55号,113520,2.50,35.0%,1,3.30元/平米/月,住宅
侨英花园,天河-粤垦-粤垦路1号,47440,3.00,30.0%,1,1.80元/平米/月,住宅
铂林国际公寓,天河-珠江新城西-花城大道16号,75269,10.00,20.0%,1,3.80元/平米/月,住宅
天河广场,天河-东圃-中山大道中268号,30967,3.00,15.0%,1,1.30元/平米/月,住宅
半山翠庭,天河-五山-贤韵街17-45号,45943,2.90,35.4%,1,1.00元/平米/月,住宅
中兴花园,天河-东圃-中山大道中1104号,42163,4.10,30.0%,1,1.50元/平米/月,住宅
荟雅苑,天河-林和-天河北路253号,69249,3.12,26.0%,1,2.70元/平米/月,住宅
东荣翰林苑,天河-长兴-长兴路297-299号,51599,3.00,37.0%,1,1.80元/平米/月,住宅
星汇雅苑,天河-珠江新城东-潭村路16号,95393,2.80,35.0%,1,0.90元/平米/月,住宅
嘉裕礼顿阳光公寓,天河-珠江新城西-华成路8号,56716,1.50,40.0%,1,3.50元/平米/月,住宅
翠安侬苑,天河-天河公园-华景北路35-40号,59055,2.00,38.0%,1,1.50元/平米/月,住宅
南天广场,天河-珠江新城西-花城大道1号,52118,5.39,39.0%,1,2.09元/平米/月,住宅
广弘天琪,天河-珠江新城西-华利路27号,110040,9.45,35.0%,1,3.00元/平米/月,住宅
天荟公馆,天河-员村-山顶街1号,90030,5.40,35.0%,1,3.50元/平米/月,住宅
天汇广场天銮,天河-珠江新城中-临江大道59号,168080,5.00,30.0%,0,6.50元/平米/月,商住楼
紫藤阁,天河-天河公园-金兴一街45号,18036,2.40,20.0%,0,0.50元/平米/月,住宅
保利中辰广场,天河-龙口西-龙口西路3号,74432,2.50,34.1%,1,2.95元/平米/月,住宅
福龙苑,天河-粤垦-粤垦路124号,33692,2.90,20.0%,1,0.80元/平米/月,住宅
珠江颐德公馆,天河-珠江新城东-花城大道,222079,1.20,41.0%,1,5.00元/平米/月,住宅
广氮新村,天河-车陂-车陂北街22号,24854,6.00,30.0%,1,0.60元/平米/月,住宅
茶山小区,天河-五山-茶山路,63619,1.50,35.0%,1,1.20元/平米/月,住宅
嘉怡苑,天河-天河北-天河北路445号,62550,2.50,35.0%,1,1.85元/平米/月,住宅
名门大厦,天河-珠江新城西-花城大道2-12号,50970,7.50,10.0%,1,2.10元/平米/月,住宅
德荣小区,天河-天河北-天河东路218-268号,52056,2.50,38.0%,1,0.65元/平米/月,住宅
珠江花城,天河-珠吉-东圃岐山183号,47160,3.20,35.0%,1,2.80元/平米/月,住宅
鸿翔大厦,天河-龙口东-天河北路615号,52170,2.50,12.0%,1,1.90元/平米/月,住宅
光华大厦,天河-天河北-天河北路82-88号,46972,2.17,35.0%,1,1.87元/平米/月,住宅
天晟明苑,天河-岗顶-石牌西路111-119号,47619,2.50,25.0%,1,2.00元/平米/月,住宅
伟腾天逸名都,天河-天河北-龙口中路152号,58964,2.50,30.0%,1,1.50元/平米/月,住宅
尚东柏悦府,天河-珠江新城东-花城大道,244079,3.50,37.0%,1,8.50元/平米/月,住宅
南兴花园,天河-天河客运站-元岗路337号,34394,2.92,45.0%,1,0.80元/平米/月,住宅
保利香槟花园,天河-珠江新城西-华穗路121号,113690,4.70,36.0%,1,2.10元/平米/月,住宅
龙湖首开天宸原著,天河-黄村-悦景路,55046,2.10,35.0%,1,2.80元/平米/月,住宅
东园小区,天河-岗顶-石牌西横街6-2号,43635,1.00,20.0%,1,0.50元/平米/月,住宅
天河山庄,天河-沙河-沙和路15号,26885,1.30,30.0%,1,0.80元/平米/月,住宅
天诚广场,天河-龙口东-龙口东路346-350号,56830,5.90,35.0%,1,1.50元/平米/月,住宅
富力盈丰大厦,天河-珠江新城西-华强路2号,27731,3.80,30.0%,0,0.90元/平米/月,商住楼
紫荆小区,天河-林和-林和东路143号,56775,2.67,35.0%,1,0.90元/平米/月,住宅
穗东花园,天河-天河公园-华翠街13-41号,44211,1.80,30.0%,1,0.58元/平米/月,住宅
汇景新城上城勋堡,天河-汇景新城-汇景南路,96816,1.20,40.0%,1,3.00元/平米/月,住宅
中海璟晖华庭,天河-珠江新城中-猎德大道31号,127044,8.94,35.0%,1,3.30元/平米/月,住宅
兰亭荟,天河-珠江新城东-平云路165号,84389,1.42,33.9%,1,2.80元/平米/月,住宅
金兴花园,天河-员村-金兴一街,48196,2.40,12.0%,1,0.50元/平米/月,住宅
美林湖畔誉府,天河-东圃-桃园西路632-616号,63747,2.08,37.4%,1,2.75元/平米/月,住宅
丽晶华庭,天河-珠江新城西-金穗路22-30号,54748,2.00,10.0%,1,1.80元/平米/月,住宅
宝兴翠园,天河-东圃-中山大道中1118号,70671,2.00,35.0%,1,2.80元/平米/月,住宅
高德公馆,天河-珠江新城中-冼村路16号,124803,8.30,30.0%,1,4.30元/平米/月,住宅
芳满庭园,天河-天河公园-华景北路,61020,3.20,35.0%,1,1.50元/平米/月,住宅
阳光都会广场,天河-岗顶-石牌东路133号,56376,3.57,50.0%,1,1.79元/平米/月,住宅
新大厦国际公寓,天河-珠江新城西-华利路1号,66900,1.80,30.0%,1,3.95元/平米/月,住宅
华骏花园,天河-珠江新城东-马场路519号,98001,3.00,30.0%,1,1.00元/平米/月,住宅
中海观园国际,天河-珠江新城东-金穗路,150815,7.00,40.0%,1,4.30元/平米/月,住宅
中铁盛德国际,天河-岗顶-黄埔大道西367号,52085,3.80,30.0%,1,1.95元/平米/月,住宅
金润大厦,天河-天河北-龙口西路361号,50475,6.94,20.0%,1,1.77元/平米/月,住宅
理想青年荟,天河-天河公园-东方三路35号,68282,4.49,30.0%,1,1.96元/平米/月,住宅
东河苑小区,天河-天河北-广州大道中1166-1206号,47413,2.00,20.0%,1,1.00元/平米/月,住宅
华南农业大学嵩山区,天河-五山-五山路483号,81202,1.20,20.0%,1,0.40元/平米/月,住宅
天寿路小区,天河-龙口东-天寿路100-124号,43771,2.50,35.0%,1,0.90元/平米/月,住宅
誉峰,天河-珠江新城东-金穗路711号,166527,6.52,45.0%,1,4.30元/平米/月,住宅
粤韵庭园,天河-员村-黄埔大道中,57781,2.50,30.0%,1,0.80元/平米/月,住宅
漾晴居,天河-珠江新城西-华明路21号,86861,6.86,43.6%,1,2.10元/平米/月,住宅
龙口小区,天河-龙口西-龙口西路,53606,2.70,32.0%,1,0.60元/平米/月,住宅
西雅苑(天河),天河-天河北-体育西路127-131号,59254,2.00,30.0%,1,2.40元/平米/月,住宅
珠江华景里,天河-天河公园-华景东路,82671,2.96,31.0%,1,2.40元/平米/月,住宅
天河北远洋小区,天河-林和-天河北路397-431号,56996,2.60,41.0%,1,0.60元/平米/月,住宅
汇峰苑,天河-珠江新城中-兴盛路8号,131768,8.30,30.0%,1,3.30元/平米/月,住宅
鸿运花园(天河),天河-天河公园-路诚街1-50号,44822,3.50,35.0%,1,0.65元/平米/月,住宅
伊顿18,天河-天河北-龙口西路194号,71179,6.67,28.0%,1,2.35元/平米/月,住宅
邮通住宅小区,天河-天河公园-中山大道西139号,56545,3.50,30.0%,1,0.90元/平米/月,住宅
九洲海誉居,天河-东莞庄-东莞庄路120号,72207,4.60,30.0%,1,4.00元/平米/月,住宅
天河豪景花园,天河-沙河-广州大道北52号,33788,4.80,31.0%,1,1.25元/平米/月,住宅
兴禺大厦,天河-沙河-禺东西路50号,27742,2.50,40.0%,0,0.90元/平米/月,住宅
尚东美御,天河-珠江新城中-猎德大道46-48号,110257,7.00,35.0%,1,2.80元/平米/月,住宅
穗茵园,天河-科韵路-建华路21-49号,41468,2.50,30.0%,1,0.50元/平米/月,住宅
嘉宝华庭,天河-体育中心-天河东路220号,59467,4.90,35.0%,1,2.50元/平米/月,住宅
信华经理人花园,天河-天河公园-华景东路216号,59908,3.84,30.0%,1,1.20元/平米/月,住宅
尚德大厦,天河-天河北-五山路141号,51958,8.26,16.0%,1,2.50元/平米/月,住宅
穗乐花园,天河-员村-员村西街20-50号,33968,2.50,35.0%,1,0.50元/平米/月,住宅
泽晖苑,天河-天河公园-华景路62-80号,54169,2.71,30.0%,1,1.50元/平米/月,住宅
沁馥佳苑,天河-天河公园-中山大道西105号,79216,3.70,40.0%,1,1.90元/平米/月,住宅
金坤花园,天河-粤垦-粤垦路189号,34600,1.80,20.0%,1,0.80元/平米/月,住宅
汇友苑,天河-东圃-东圃大马路9-13号,42760,3.00,25.0%,1,1.00元/平米/月,住宅
建丽花园,天河-长兴-长兴路342-472号,38140,1.40,35.0%,0,1.00元/平米/月,住宅
叠翠台,天河-天河公园-天府路289号,66818,3.72,20.0%,1,1.50元/平米/月,住宅
员村四横路5号大院,天河-员村-员村四横路5号,34385,1.00,20.0%,1,0.60元/平米/月,住宅
中强雅苑,天河-沙河-广州大道中1432号,42753,2.80,30.0%,1,1.50元/平米/月,住宅
翠屏富通雅苑,天河-东圃-东环路21号,52426,1.80,37.8%,1,0.80元/平米/月,住宅
天惠大厦,天河-天河北-龙口中路194号,77651,3.50,25.0%,1,0.90元/平米/月,住宅
粤海丽江花园,天河-珠江新城东-金穗路77-79号,116567,7.00,30.0%,1,3.80元/平米/月,住宅
佳润临江上品,天河-员村-临江大道,38400,2.62,34.0%,1,4.80元/平米/月,住宅
天荣小区,天河-体育西路-天荣路,48207,2.10,30.0%,1,1.50元/平米/月,住宅
太阳广场,天河-龙怡路-龙口东路331-337号,49366,6.50,32.0%,1,1.60元/平米/月,住宅
邦华名悦大厦,天河-珠江新城西-华成路2号,92669,8.60,40.0%,1,3.50元/平米/月,住宅
君紫花园,天河-岗顶-新陶大街,49433,2.50,38.0%,1,0.60元/平米/月,住宅
耀星华庭,天河-林和-天寿路25-27号,74045,3.00,23.0%,1,2.50元/平米/月,住宅
天盛大厦,天河-体育西路-体育东路35号,39077,2.50,30.0%,1,1.40元/平米/月,住宅
六运七街小区,天河-石牌-六运七街,57038,2.00,20.0%,1,0.65元/平米/月,住宅
林和东商住小区,天河-天河北-沾溢直街170-190号,53521,2.80,22.0%,1,0.80元/平米/月,住宅
保林苑,天河-珠江新城西-华就路6号,103000,3.44,30.0%,1,2.00元/平米/月,住宅
红英小区,天河-粤垦-燕岭路30号,27274,1.50,30.0%,1,0.80元/平米/月,住宅
珠江都荟,天河-珠江新城西-华利路25号,111979,3.80,35.0%,1,3.60元/平米/月,住宅
公园一号,天河-天河公园-天府路11号之一,83000,5.00,30.0%,1,2.50元/平米/月,住宅
利雅湾,天河-珠江新城中-兴民路160号,135031,3.76,35.0%,1,4.60元/平米/月,住宅
御景雅苑,天河-天河公园-天府路7号,95447,3.82,35.7%,1,3.50元/平米/月,住宅
怡苑小区,天河-天河北-华阳街55-79号,82864,7.21,43.0%,1,8.10元/平米/月,住宅
远东大厦,天河-天河北-林和街230-244号,60144,10.13,32.0%,1,2.00元/平米/月,住宅
恒安大厦,天河-员村-黄埔大道中256号,43871,3.00,35.0%,1,1.50元/平米/月,住宅
华康小区,天河-天河北-华康街22-24号,56061,3.10,30.0%,1,0.90元/平米/月,住宅
东方都会广场,天河-天河公园-中山大道西192号,52417,2.50,10.0%,1,1.87元/平米/月,住宅
嘉逸花园,天河-东莞庄-伟逸街,32400,3.49,42.0%,1,0.55元/平米/月,住宅
侨林苑(三期),天河-林和-侨林街,90319,2.00,40.0%,1,2.30元/平米/月,住宅
雅怡阁,天河-东圃-东圃大马路3-25号,31431,2.50,20.0%,1,1.00元/平米/月,住宅
暨南大学羊城苑,天河-岗顶-黄埔大道西601号,68248,1.20,20.0%,0,0.50元/平米/月,住宅
汇景新城上城峰境,天河-汇景新城-汇景北路64号,97316,2.63,35.0%,0,3.00元/平米/月,住宅
南苑小区,天河-岗顶-黄埔大道西463号,52866,1.50,20.0%,1,1.50元/平米/月,住宅
春江花园,天河-棠东-棠东东路112-128号,35761,3.10,30.0%,1,1.50元/平米/月,住宅
昌乐园小区,天河-员村-员村二横路1号,47596,0.40,35.0%,1,0.50元/平米/月,住宅
尚雅小区,天河-体育西路-黄埔大道西196号,58227,1.50,41.0%,1,0.65元/平米/月,住宅
天河东远洋小区,天河-天河北-天河东路171-173号,59875,2.00,15.0%,1,0.75元/平米/月,住宅
华苑大厦,天河-天河北-天河直街1-87号,49000,1.56,32.0%,1,1.95元/平米/月,住宅
翠雅苑,天河-沙河-禺东西路34-36号,42725,2.50,35.0%,1,1.00元/平米/月,住宅
华江花园,天河-天河公园-黄埔大道中103-113号,45445,3.30,40.0%,1,0.40元/平米/月,住宅
安骏大厦,天河-珠江新城东-马场路529号,90509,6.00,25.0%,1,1.80元/平米/月,住宅
半山溪谷E墅,天河-东圃-悦景路2号,57446,1.00,50.0%,1,2.80元/平米/月,住宅
瑞华大厦,天河-华师-五山路263-265号,41999,2.50,20.0%,1,1.70元/平米/月,住宅
金鼎大厦,天河-天河北-龙口西路373号,39495,8.00,25.0%,1,1.50元/平米/月,住宅
华南师范大学教师新村,天河-华师-青松东路,70624,2.50,30.0%,1,1.00元/平米/月,住宅
金穗大厦,天河-体育西路-广州大道中900号,41827,6.00,30.0%,1,1.80元/平米/月,住宅
锦华轩,天河-岗顶-石牌东路46号,44828,1.56,10.0%,1,0.60元/平米/月,住宅
天鑫六运小区,天河-体育西路-天河南一路,52263,1.50,30.0%,1,0.60元/平米/月,住宅
新光天河峰景,天河-沙太南-兴华路1号,46115,1.50,20.0%,1,1.00元/平米/月,住宅
车陂南楼,天河-车陂-车陂路,16353,2.00,10.0%,1,0.90元/平米/月,住宅
龙苑大厦,天河-岗顶-天河路551-553号,40969,7.97,20.0%,1,1.70元/平米/月,住宅
君怡大厦,天河-珠江新城东-金穗路935号,77221,3.00,35.0%,1,2.10元/平米/月,住宅
五仙花园,天河-沙太南-瑞和街22号,34297,1.20,40.0%,1,1.80元/平米/月,住宅
希尔顿阳光,天河-天河北-龙口西路305号,69263,2.00,35.0%,1,2.80元/平米/月,住宅
石牌东路小区,天河-岗顶-石牌东路,35671,2.30,30.0%,0,1.20元/平米/月,住宅
