小区名字,小区地址,均价,容积率,绿化率,有无停车位,物业费,物业类型
龙津大厦,荔湾-陈家祠-龙津中路544号,32901,10.36,24.0%,1,1.80元/平米/月,住宅
富力盛悦居,荔湾-西关-逢源路145-149号,59343,7.76,25.0%,1,2.50元/平米/月,住宅
葛洲坝紫郡府,荔湾-广钢新城-鹤洞路151号,46223,3.90,35.0%,1,3.90元/平米/月,住宅
荔湾世纪广场,荔湾-西关-龙津中路599号,41069,7.50,30.0%,1,2.00元/平米/月,住宅
金宇花园,荔湾-芳村-东沙大道317号,26763,1.45,19.4%,1,1.00元/平米/月,住宅
龙津世家,荔湾-陈家祠-龙津中路459-483号,55752,8.20,25.0%,1,3.60元/平米/月,住宅
芳华阁,荔湾-芳村-鹤洞路3巷74-88号,21651,1.50,12.5%,1,0.80元/平米/月,住宅
新光城市广场,荔湾-陈家祠-康王中路666号,46494,2.50,30.0%,0,0.90元/平米/月,住宅
宝盛园,荔湾-西关-逢源路116-126号,46537,6.20,38.0%,1,1.80元/平米/月,住宅
花地湾红棉苑南区,荔湾-芳村-花地大道北192号,27005,2.24,50.0%,1,0.60元/平米/月,住宅
富力广场(B区D区),荔湾-中山八路-中山八路20号,45376,2.50,40.0%,0,1.80元/平米/月,住宅
宏新华庭,荔湾-西关-光复北路,58141,8.36,30.0%,1,2.50元/平米/月,住宅
文昌雅居,荔湾-西关-文昌北路237号,49367,4.22,10.0%,1,1.70元/平米/月,住宅
荔江美筑,荔湾-滘口-芳村大道西,32185,2.87,35.0%,1,1.80元/平米/月,住宅
东浚荔景苑,荔湾-荔湾路-中山八路12号,37889,2.52,35.0%,1,1.75元/平米/月,住宅
十二甫新街小区,荔湾-黄沙-丛桂路,19800,1.50,30.0%,0,0.90元/平米/月,住宅
富力广场T区,荔湾-中山八路-龙津西路313号,42836,5.45,40.0%,0,1.80元/平米/月,住宅
花地河湾,荔湾-西塱-花地大道南188号,31897,3.70,40.0%,1,1.98元/平米/月,住宅
西华苑,荔湾-荔湾路-西华路40-98号,36794,2.50,17.0%,1,1.60元/平米/月,住宅
惠城花园,荔湾-陈家祠-带河路187-189号,31408,2.50,10.0%,1,2.30元/平米/月,住宅
保利塞纳维拉,荔湾-龙溪-龙溪中路,27498,3.59,60.0%,1,2.80元/平米/月,住宅
万科金域华府,荔湾-西关-康王中路330-334号,68553,7.00,35.0%,1,2.80元/平米/月,住宅
汾水花园,荔湾-芳村-茶滘路105号,26000,4.24,40.0%,1,2.50元/平米/月,住宅
西湾路小区,荔湾-环市西-西湾路10-16号,26878,3.50,35.0%,0,0.60元/平米/月,住宅
黄金广场,荔湾-黄沙-黄沙大道11-13号,37629,9.45,20.0%,1,2.00元/平米/月,住宅
西关大厦,荔湾-长寿路-十八甫南路30号,30638,3.20,20.0%,1,2.20元/平米/月,住宅
流花君庭,荔湾-站前路-流花路73号,56933,4.00,41.0%,1,3.80元/平米/月,住宅
荔湾西华路小区,荔湾-陈家祠-西华路300-600号,31888,3.11,17.0%,1,0.90元/平米/月,住宅
龙津华府,荔湾-荔湾路-龙津西路338号,64847,1.83,30.0%,1,2.30元/平米/月,住宅
龙锦大厦,荔湾-陈家祠-龙津东路777号,38844,2.50,22.0%,1,1.80元/平米/月,住宅
南源花园,荔湾-南岸-富力路30-32号,32372,4.50,21.0%,1,1.50元/平米/月,住宅
金湾明珠,荔湾-桥中-河沙路138号,49581,3.00,46.0%,1,2.80元/平米/月,住宅
美荔心筑,荔湾-陈家祠-中山七路193-195号,48698,4.50,15.7%,1,1.88元/平米/月,住宅
名汇大厦,荔湾-长寿路-下九路63号,38911,3.80,27.0%,1,1.35元/平米/月,住宅
桥东小区,荔湾-芳村-万盛街1-6号,23054,2.00,35.0%,0,0.50元/平米/月,住宅
金兰苑,荔湾-芳村-浣花西路51号,25743,3.69,35.0%,1,1.00元/平米/月,住宅
万科金色康苑,荔湾-陈家祠-康王北路1073号,56587,8.78,30.0%,1,2.20元/平米/月,住宅
荔景华庭,荔湾-长寿路-十八甫北路1-9号,36847,2.50,28.0%,1,1.50元/平米/月,住宅
逢莱路小区,荔湾-西关-蓬莱路18号,40018,1.20,20.0%,1,0.20元/平米/月,住宅
宝华豪庭,荔湾-西关-宝华路33-51号,38400,3.00,24.0%,1,1.80元/平米/月,住宅
文昌阁,荔湾-文昌南路-长寿西路66-68号,38650,2.80,15.0%,1,2.50元/平米/月,住宅
园中园小区,荔湾-中山八路-周门街118号,28200,1.00,30.0%,1,0.70元/平米/月,住宅
荔情居,荔湾-陈家祠-光复北路756-788号,38800,3.40,35.0%,1,1.80元/平米/月,住宅
富凯星堤,荔湾-芳村-东沙荷景路1号,17468,2.59,30.0%,1,3.95元/平米/月,住宅
力诚欣悦湾,荔湾-芳村-茶滘路22号,33318,2.50,35.0%,1,2.80元/平米/月,住宅
广雅小区,荔湾-西村-广雅前街,33855,2.47,35.0%,1,0.90元/平米/月,住宅
大岗元社区,荔湾-环市西-西湾路100-140号,29255,2.50,14.0%,1,0.60元/平米/月,住宅
荔丰花园,荔湾-芳村-荔海街,27800,3.06,20.0%,1,1.80元/平米/月,住宅
洪寿街小区,荔湾-西关-长寿东路,25800,1.20,19.0%,1,0.50元/平米/月,住宅
盛大蓝庭,荔湾-坑口-浣花南街8号,34735,3.05,48.0%,1,1.44元/平米/月,住宅
嘉茗华庭,荔湾-芳村-芳村大道中435号,36000,6.26,17.0%,1,1.50元/平米/月,住宅
城启晴轩,荔湾-文昌南路-宝华正中约10号,35556,7.50,20.0%,1,1.55元/平米/月,住宅
荔雅阁(荔湾),荔湾-陈家祠-西华路75号,26200,2.51,21.0%,1,0.90元/平米/月,住宅
邦华星际广场,荔湾-龙溪-龙溪中路96号,19238,2.50,40.0%,1,3.00元/平米/月,住宅
长宁街小区,荔湾-西村-长宁街,29180,2.51,14.9%,1,0.80元/平米/月,住宅
新城市逢源轩,荔湾-陈家祠-逢源路66-68号,42501,2.57,16.3%,1,3.80元/平米/月,住宅
花地湾红棉苑北区,荔湾-芳村-悦成路,31133,2.20,50.0%,1,0.60元/平米/月,住宅
保利堂悦,荔湾-广钢新城-越海街19-21号,69709,3.90,35.0%,1,3.60元/平米/月,住宅
保利花海湾,荔湾-芳村-百花路111号,42954,4.50,35.0%,1,3.50元/平米/月,住宅
西湾阳光,荔湾-环市西-长乐后街55-56号,32600,9.10,30.0%,1,1.90元/平米/月,住宅
新丽苑,荔湾-龙溪-龙溪西路,16500,2.51,15.0%,1,0.90元/平米/月,住宅
元邦明月星辉,荔湾-西关-文昌北路242-272号,38829,4.72,30.0%,1,3.30元/平米/月,住宅
隆庆社区,荔湾-陈家祠-中山七路200号,32524,2.47,20.0%,1,0.70元/平米/月,住宅
骏业阁,荔湾-文昌南路-文昌南路72-88号,32400,2.50,25.0%,1,1.60元/平米/月,住宅
锦龙北小区,荔湾-陈家祠-中山七路,31600,1.50,20.0%,0,1.00元/平米/月,住宅
安富花园,荔湾-陈家祠-光复北路506-512号,33190,2.50,17.9%,1,0.90元/平米/月,住宅
翠荷轩,荔湾-坑口-东潡南路90号,30600,1.50,36.0%,1,2.60元/平米/月,住宅
流花路39号大院,荔湾-站前路-流花路,30244,1.20,20.0%,1,0.60元/平米/月,住宅
康乃馨苑,荔湾-坑口-浣花东街,24800,1.50,17.0%,1,0.40元/平米/月,住宅
金奴大厦,荔湾-西关-小梅大街2-3号,25600,4.45,23.0%,1,0.50元/平米/月,住宅
西站小区,荔湾-环市西-站前路15号,22940,2.57,15.4%,1,0.70元/平米/月,住宅
中海学仕里,荔湾-广钢新城-开拓路,52111,4.50,35.0%,1,3.60元/平米/月,住宅
芬芳小区,荔湾-芳村-芬芳街,22200,1.50,12.4%,1,0.60元/平米/月,住宅
乌石墩小区,荔湾-芳村-市外约新街,27272,3.50,35.0%,1,0.60元/平米/月,住宅
龙津东路大院,荔湾-陈家祠-龙津东路,25200,1.50,20.0%,1,0.50元/平米/月,住宅
万科金色荔苑,荔湾-西关-龙津中路526号,58211,8.70,25.0%,1,2.80元/平米/月,住宅
冼家庄小区,荔湾-西关-西华路,28583,2.90,35.0%,1,0.90元/平米/月,住宅
富力皇上皇大厦,荔湾-陈家祠-小梅大街22号,43355,2.59,15.8%,1,1.80元/平米/月,住宅
东漖南小区,荔湾-坑口-东漖南路17-29号,16400,1.50,36.0%,1,暂无,住宅
粤电花园,荔湾-南岸-南岸路,29400,2.62,33.0%,1,0.50元/平米/月,住宅
荔康大厦,荔湾-陈家祠-康王北路,42500,4.20,30.0%,1,1.80元/平米/月,住宅
多宝路小区,荔湾-西关-多宝路8号,27766,2.70,32.0%,1,暂无,住宅
汾水小区,荔湾-芳村-秋兰街,20800,2.00,30.0%,1,0.60元/平米/月,住宅
华贵路小区,荔湾-荔湾路-华贵路,41912,2.53,16.0%,0,0.90元/平米/月,住宅
华康居,荔湾-陈家祠-小梅大街100号之一,51103,2.50,17.0%,1,1.60元/平米/月,住宅
汇鑫阁,荔湾-陈家祠-康王中路,34477,4.80,20.0%,1,1.20元/平米/月,住宅
葛洲坝保利曼城,荔湾-广钢新城-鹤洞路157号,43553,4.80,35.0%,1,3.20元/平米/月,住宅
陆居路西小区,荔湾-芳村-陆居路19号,17142,2.40,35.0%,1,0.80元/平米/月,住宅
保利碧桂园公园大道,荔湾-广钢新城-崇文二路,52217,4.80,35.0%,1,3.80元/平米/月,住宅
芳村大道西小区,荔湾-滘口-芳村大道西82号,20600,2.60,12.0%,1,0.60元/平米/月,住宅
沙涌新村,荔湾-芳村-浣花路,19400,3.00,16.0%,1,0.50元/平米/月,住宅
西湾苑,荔湾-环市西-西湾路,27327,2.51,14.8%,1,1.55元/平米/月,住宅
金鹤苑,荔湾-芳村-柳桥北路,25543,1.50,35.0%,1,0.80元/平米/月,住宅
黄沙后道小区,荔湾-黄沙-黄沙后道5号,25471,1.50,15.0%,1,0.60元/平米/月,住宅
长乐后街小区,荔湾-环市西-环市西路46-52号,28263,2.54,12.7%,1,0.40元/平米/月,住宅
保利东郡,荔湾-广钢新城-开拓路,45570,2.50,35.0%,1,3.80元/平米/月,住宅
荔湖明苑,荔湾-中山八路-粤南大街3号,35400,2.51,30.0%,1,1.60元/平米/月,住宅
龙津商贸大厦,荔湾-陈家祠-光复中路403号,44705,2.40,35.0%,1,1.90元/平米/月,住宅
福盛花苑,荔湾-芳村-鹤盛路245号,22800,2.30,20.0%,1,0.50元/平米/月,住宅
中海花湾壹号(D区),荔湾-广钢新城-团结路,44127,2.50,35.0%,0,0.90元/平米/月,住宅
西关尚品,荔湾-长寿路-十八甫路103号,20524,2.50,30.0%,0,0.90元/平米/月,住宅
太保直街小区,荔湾-西华路-太保直街,33617,2.51,32.0%,1,0.50元/平米/月,住宅
司法大厦,荔湾-西关-龙津西路138号,28600,2.70,35.0%,1,3.50元/平米/月,住宅
广雅居,荔湾-西村-西湾东路14号,28600,2.42,12.7%,0,0.60元/平米/月,住宅
金花苑,荔湾-陈家祠-和安街43号,37648,2.12,27.6%,1,0.50元/平米/月,住宅
紫莱大厦,荔湾-龙津-龙津东路753号,28600,2.50,20.0%,1,0.90元/平米/月,住宅
雅居乐荔尚国际,荔湾-文昌南路-文昌南路97-107号,38600,2.50,40.0%,1,1.55元/平米/月,住宅
隆城大厦,荔湾-陈家祠-荔湾路33号,29200,9.46,15.8%,1,1.80元/平米/月,住宅
君荟名轩,荔湾-西村-环市西路47号,44600,2.50,12.2%,1,2.80元/平米/月,住宅
华林国际誉品,荔湾-陈家祠-康王中路300-322号,44301,3.50,15.0%,1,1.00元/平米/月,住宅
光复大厦,荔湾-西关-光复中路288号,30600,2.00,16.0%,1,1.50元/平米/月,住宅
广钢观鹤小区,荔湾-芳村-鹤洞路187号,21000,2.50,20.0%,1,0.60元/平米/月,住宅
凯德双桥8号,荔湾-桥中-裕福街35-73号,48537,4.60,35.0%,1,3.50元/平米/月,住宅
顺景楼(荔湾),荔湾-中山八路-南岸铁路边7号,31166,1.80,28.0%,1,0.60元/平米/月,住宅
芳泰花园,荔湾-滘口-塞坝路3号之1-4,21600,2.53,30.0%,0,0.60元/平米/月,住宅
陈岗路2号大院,荔湾-站前路-陈岗路2号,30742,1.20,15.0%,1,0.50元/平米/月,住宅
龙津中路小区,荔湾-西关-龙津中路,27066,1.50,30.0%,0,0.90元/平米/月,住宅
龙湾广场,荔湾-滘口-芳村大道西392号,16290,2.51,18.0%,1,0.80元/平米/月,住宅
华业里小区,荔湾-环市西-西增路,32840,1.58,14.7%,1,1.00元/平米/月,住宅
富力广场(北区),荔湾-荔湾路-中山八路18号,42800,2.50,40.0%,0,0.90元/平米/月,住宅
中兴苑,荔湾-中山八路-周门街,31032,2.52,15.0%,1,0.70元/平米/月,住宅
紫贵坊,荔湾-陈家祠-紫贵坊,29400,2.50,20.0%,0,0.90元/平米/月,住宅
穗文大厦,荔湾-西关-宝源路98号,35000,8.78,24.0%,1,1.50元/平米/月,住宅
盛贤登云天下,荔湾-南岸-南岸路45号,18600,1.20,20.0%,1,1.80元/平米/月,住宅
五芳苑,"荔湾-滘口-五芳街3号,4号,5号,6号,7号",27045,3.62,30.0%,0,0.60元/平米/月,住宅
翁源巷小区,荔湾-文昌南路-宝华路,24000,1.20,20.0%,0,0.50元/平米/月,住宅
裕兴苑,"荔湾-西关-龙源新街22-28,54号",40211,2.70,12.0%,1,1.20元/平米/月,住宅
龙泉居小区,荔湾-芳村-龙湾路,32200,2.20,20.0%,1,0.70元/平米/月,住宅
芦荻街小区,荔湾-陈家祠-芦荻街,30000,2.50,25.0%,1,1.20元/平米/月,住宅
小康人家,荔湾-坑口-浣南东街42号,26000,2.60,30.0%,1,1.00元/平米/月,住宅
荔新大厦,荔湾-环市西-西湾路85-89号,37600,4.44,14.4%,1,0.80元/平米/月,住宅
康王中路大院,荔湾-陈家祠-康王中路,36460,2.51,16.8%,0,1.00元/平米/月,住宅
南京路小区,荔湾-西村-南京路14号,39400,2.41,14.5%,1,0.80元/平米/月,住宅
厚福大街大院,荔湾-西关-厚福大街,26400,1.50,20.0%,0,0.90元/平米/月,住宅
金盈居,荔湾-荔湾路-荔湾路97-1号,39520,2.51,75.0%,1,1.20元/平米/月,住宅
广钢鹤平小区,荔湾-广钢新城-平东三巷1号,19452,2.70,15.0%,1,0.50元/平米/月,住宅
小梅大街大院,荔湾-陈家祠-小梅大街,26562,1.20,20.0%,0,0.50元/平米/月,住宅
荔京阁,荔湾-荔湾路-荔湾路121号,37000,2.51,20.0%,1,1.70元/平米/月,住宅
国信广场,荔湾-黄沙-黄沙大道7号,28000,4.00,22.0%,1,1.80元/平米/月,住宅
广雅社区,荔湾-环市西-西湾路11号,27400,1.20,20.0%,1,0.80元/平米/月,住宅
广钢宿舍,荔湾-坑口-鹤洞路179号,21185,2.40,30.0%,1,1.00元/平米/月,住宅
广啤雅苑,荔湾-西村-西湾路,30400,1.00,14.9%,1,1.00元/平米/月,住宅
金威大厦,荔湾-荔湾路-西华路51-71号,37000,2.51,32.0%,1,1.50元/平米/月,住宅
华林国际誉领,荔湾-龙津-康王中路346-352号,55000,2.50,20.0%,1,1.95元/平米/月,住宅
多宝华厦,荔湾-西关-多宝路246-262号,34800,5.20,21.0%,1,1.50元/平米/月,住宅
邦华星宇广场,荔湾-龙溪-江北路33号,16663,2.40,40.0%,1,3.00元/平米/月,住宅
南站新街小区,荔湾-黄沙-黄沙大道,26429,1.50,30.0%,0,0.90元/平米/月,住宅
银建小区,荔湾-荔湾路-荔湾路,30545,1.50,20.0%,0,0.90元/平米/月,住宅
花地城广场,荔湾-芳村-花地大道北93-103号,37637,3.50,28.5%,1,1.00元/平米/月,住宅
华福大厦,荔湾-陈家祠-中山七路,32380,2.60,30.0%,1,1.50元/平米/月,住宅
和平南小区,荔湾-环市西-东风西路102号,30154,1.50,35.0%,1,0.50元/平米/月,住宅
周门西街小区,荔湾-中山八路-周门西街,35219,2.51,10.0%,1,0.70元/平米/月,住宅
观湖雅轩,荔湾-荔湾路-荔湾路,31800,1.20,28.0%,1,1.50元/平米/月,住宅
培英大院,荔湾-芳村-培真路50号,16200,1.20,30.0%,0,0.50元/平米/月,住宅
逢源中约,荔湾-西关-逢源路67号,26000,1.50,23.0%,1,0.20元/平米/月,住宅
旭日大厦,荔湾-西关-光复中路313-317号,30400,2.50,20.0%,1,1.80元/平米/月,住宅
锦龙社区,荔湾-陈家祠-中山七路231号,32307,1.20,20.0%,1,0.60元/平米/月,住宅
田间苑小区,荔湾-南岸-富力路22-5号,25800,2.00,30.0%,1,0.80元/平米/月,住宅
龙湾贰号,荔湾-芳村-龙湾路2号,24117,2.50,30.0%,1,1.80元/平米/月,住宅
金门大厦,荔湾-陈家祠-人民北路759号,36200,2.50,15.2%,1,1.20元/平米/月,住宅
港丰大厦,荔湾-陈家祠-西华路256号,34400,2.50,30.0%,1,1.50元/平米/月,住宅
龙湾苑,荔湾-芳村-龙湾路,22200,1.50,25.0%,1,0.60元/平米/月,住宅
文宸阁,荔湾-芳村-浣花路39号,29224,4.00,20.0%,1,0.80元/平米/月,住宅
站前横路大院,荔湾-站前路-站前横路22号,23400,1.20,20.0%,1,0.70元/平米/月,住宅
郭村小区,荔湾-滘口-芳信路120号,17000,2.00,35.0%,1,0.50元/平米/月,住宅
桥荫坊,荔湾-环市西-环市西路75号,28400,2.59,11.4%,1,1.00元/平米/月,住宅
龙津苑,荔湾-陈家祠-龙津东路,29400,2.51,17.0%,0,0.50元/平米/月,住宅
金平大厦,荔湾-陈家祠-西华路410-440号,36415,2.51,32.9%,1,1.80元/平米/月,住宅
府前阁,荔湾-芳村-芳村大道中558号,23800,1.20,40.0%,1,0.60元/平米/月,住宅
明桂苑,荔湾-芳村-芳村大道116号,28000,2.52,15.0%,1,0.50元/平米/月,住宅
富邦名寓,荔湾-陈家祠-中山七路67-71号,44200,7.90,15.1%,1,2.50元/平米/月,住宅
沙面北街小区,荔湾-黄沙-沙面北街1-100号,50000,1.20,19.0%,1,0.80元/平米/月,住宅
龙津东路欧家园,荔湾-西关-龙津东路,29800,2.50,21.0%,1,1.50元/平米/月,住宅
金翠园,荔湾-南岸-南岸路,24656,1.50,30.0%,1,3.80元/平米/月,住宅
怡福花园,荔湾-滘口-怡福街,20200,2.51,15.0%,1,0.60元/平米/月,住宅
流花路小区,荔湾-站前路-流花路,26000,2.90,38.0%,1,0.50元/平米/月,住宅
克山小区,荔湾-环市西-环市西路,21745,1.50,35.0%,1,0.90元/平米/月,住宅
紫莱苑,荔湾-芳村-桥梓大街,24400,2.52,16.0%,1,0.80元/平米/月,住宅
云南大厦,荔湾-陈家祠-中山七路132号,30000,2.47,16.1%,1,1.20元/平米/月,住宅
万盛苑,荔湾-芳村-芳村大道中560号,30400,2.20,17.2%,1,1.00元/平米/月,住宅
石路基小区,荔湾-中山八路-中山八路,34000,2.51,18.0%,1,1.30元/平米/月,住宅
荔92号宿舍,荔湾-荔湾路-荔湾路92号,25853,1.20,30.0%,1,1.00元/平米/月,住宅
广电兰亭西津,荔湾-荔湾路-西华路155-175号,41800,2.50,25.0%,1,2.00元/平米/月,住宅
康王北路大院,荔湾-陈家祠-康王北路988号,30800,2.51,15.8%,1,2.20元/平米/月,住宅
金雁里,荔湾-陈家祠-康王北路,25200,2.50,20.0%,1,0.90元/平米/月,住宅
龙津西路大院,荔湾-西关-龙津西路,29264,2.90,15.0%,0,0.90元/平米/月,住宅
第六甫水脚,荔湾-陈家祠-光复中路234号,23800,1.20,30.0%,0,0.50元/平米/月,住宅
芳景阁,荔湾-芳村-东教北路47-49号,24224,1.50,20.0%,1,1.20元/平米/月,住宅
长寿西路20号小区,荔湾-文昌南路-长寿西路20号,35326,1.20,20.0%,0,0.50元/平米/月,住宅
陈岗社区,荔湾-站前路-陈岗路18号,26600,1.50,30.0%,0,0.90元/平米/月,住宅
西场电器城,荔湾-西村-东风西路45号,23800,1.50,20.0%,0,0.90元/平米/月,住宅
光复北路小区,荔湾-陈家祠-光复北路,29992,2.57,16.0%,1,0.50元/平米/月,住宅
万科海上传奇,荔湾-芳村-太和街,34547,4.30,20.0%,1,7.50元/平米/月,商住楼
逢源路小区,荔湾-荔湾路-逢源路17号,33553,1.50,14.0%,0,0.90元/平米/月,住宅
冰厂后街小区,荔湾-环市西-环市西路29-46号,18245,2.63,12.0%,1,0.90元/平米/月,住宅
扬仁南,荔湾-西关-杨巷路,19800,1.20,20.0%,1,1.00元/平米/月,住宅
光复中路小区,荔湾-西关-光复中路251号,27227,2.59,18.2%,1,0.50元/平米/月,住宅
陈岗路小区,荔湾-站前路-站前路103号,26800,1.50,45.0%,1,0.50元/平米/月,住宅
万科柏悦湾,荔湾-桥中-坦尾南路27号,37600,3.56,30.0%,1,2.60元/平米/月,住宅
越秀财富公馆,荔湾-西村-西湾路149号,14252,2.50,30.0%,0,0.90元/平米/月,商住楼
西关宝华路大院,荔湾-西关-宝华路,25600,2.00,14.0%,1,1.50元/平米/月,住宅
塘前新街小区,荔湾-中山八路-塘前新街,21200,1.50,35.0%,1,1.00元/平米/月,住宅
逢源正街小区,荔湾-西关-逢源正街,28200,1.20,30.0%,1,0.20元/平米/月,住宅
金花直街小区,荔湾-陈家祠-金花直街,39881,2.00,20.0%,1,0.90元/平米/月,住宅
西湾东路小区,荔湾-环市西-西湾东路3街1号,32031,2.52,15.0%,0,0.80元/平米/月,住宅
富力唐宁花园(别墅),荔湾-站前路-唐宁北一街1-15号,88796,0.50,30.0%,0,3.50元/平米/月,别墅
周门北路小区,荔湾-周门-周门北路,24800,1.20,20.0%,1,0.70元/平米/月,住宅
逸合中心,荔湾-芳村-浣花路109号,32020,4.80,20.01%,1,7.20元/平米/月,商住楼
中山八路小区,荔湾-中山八路-中山八路,35952,2.57,16.0%,0,0.90元/平米/月,住宅
和平西路小区,荔湾-长寿路-和平西路,29255,2.00,15.0%,0,0.80元/平米/月,住宅
恩宁路小区,荔湾-西关-恩宁路126-204号,28074,1.50,20.0%,1,0.10元/平米/月,住宅
