id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0KBR5QEKJ,祥龙水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],海中一路与海中一路二巷交叉口南180米,113.209816,23.051836,113.2044707,23.0545201,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0KGMUST50,彩鲽水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],市场北路与百合路交叉口西南100米,113.20692,23.063544,113.2015699,23.0662191,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0I1PMLBZX,宏阳水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],高岗街与红棉一路交叉口南180米,113.205856,23.063216,113.2005045,23.0658897,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0J01AVE4A,灏升水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],高岗街与红棉一路交叉口南160米,113.205602,23.063223,113.2002501,23.0658963,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0I1VZSVO2,虎跃水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],市场北路与百合路交叉口西40米,113.207343,23.063853,113.2019935,23.0665285,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0JKCRDO3P,锐宸水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],市场北路与百合路交叉口西40米,113.207299,23.063857,113.2019495,23.0665325,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B00141HXJ3,沙面公园管理处,风景名胜;风景名胜;风景名胜|风景名胜;公园广场;公园广场|生活服务;生活服务场所;生活服务场所,110200|110100|070000,tour,沙面南街7-1号,113.247524,23.105878,113.24220166683378,23.1085680519436,[],广东省,广州市,荔湾区,风景名胜,风景名胜,风景名胜
B0JD27OPKU,黎氏宗祠,风景名胜;风景名胜;寺庙道观|生活服务;生活服务场所;生活服务场所,110205|070000,tour,乐交新路5号(板桥地铁站A口步行350米),113.388372,23.012987,113.38285808867504,23.015534228470003,[],广东省,广州市,番禺区,风景名胜,风景名胜,寺庙道观
B0FFI86OA0,碧泉空中温泉,风景名胜;风景名胜相关;旅游景点|生活服务;生活服务场所;生活服务场所,110000|070000,tour,温泉东路76号碧泉空中温泉大酒店3层,113.654526,23.645988,113.6493769275272,23.648710345090088,020-39437408;020-87876666,广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0FFH9ICBN,南阳庄陈氏宗祠,风景名胜;风景名胜;风景名胜|生活服务;生活服务场所;生活服务场所,110200|070000,tour,106国道,113.262278,23.390225,113.25693213154726,23.39282372025235,[],广东省,广州市,花都区,风景名胜,风景名胜,风景名胜
B0FFF56X7T,颜氏大宗祠,风景名胜;风景名胜;寺庙道观|生活服务;生活服务场所;生活服务场所,110205|070000,tour,棠下西街,113.251376,23.173785,113.24604880505902,23.17644819373702,[],广东省,广州市,白云区,风景名胜,风景名胜,寺庙道观
B0FFHNDESP,康安宫,风景名胜;风景名胜;寺庙道观|生活服务;洗浴推拿场所;洗浴推拿场所,110205|071400,tour,萧岗村北门东街,113.26988,23.1904,113.26454205790648,23.193049492188266,[],广东省,广州市,白云区,风景名胜,风景名胜,寺庙道观
B00141K95N,水沥广场,风景名胜;公园广场;城市广场|体育休闲服务;休闲场所;休闲场所,110105|080500,tour,水莲街8号,113.236536,23.311819,113.23119745658067,23.314434322428312,[],广东省,广州市,白云区,风景名胜,公园广场,城市广场
B0K65SI8W4,奥胜足篮体育公园,风景名胜;公园广场;公园|体育休闲服务;运动场馆;运动场所,110101|080100,tour,谢家庄长新路与大来南路交叉口东120米,113.359114,23.297763,113.35361329939684,23.300235123578613,[],广东省,广州市,白云区,风景名胜,公园广场,公园
B0FFHUF62C,比奇(广州)军事主题园,风景名胜;风景名胜;风景名胜|体育休闲服务;休闲场所;休闲场所,110200|080500,tour,Y774(度假村专用道南),113.201712,23.455476,113.19632775826857,23.45802844283236,020-86936668,广东省,广州市,花都区,风景名胜,风景名胜,风景名胜
B0FFKMPXPG,广州融创体育世界,风景名胜;风景名胜相关;旅游景点|体育休闲服务;体育休闲服务场所;体育休闲服务场所,110000|080000,tour,凤凰北路63号融创茂1层,113.23306,23.425806,113.22771201468588,23.42839706335812,4008959888,广东省,广州市,花都区,风景名胜,风景名胜相关,旅游景点
B0FFH11O05,佛世山庄,风景名胜;风景名胜;寺庙道观|体育休闲服务;休闲场所;休闲场所,110205|080500,tour,同和街道沙太北路603号大佛古寺,113.339421,23.200566,113.33396295903547,23.20310301543058,[],广东省,广州市,白云区,风景名胜,风景名胜,寺庙道观
B0HKLLTSEO,龙洞文化广场,风景名胜;公园广场;城市广场|体育休闲服务;运动场馆;运动场所,110105|080100,tour,龙洞东园二横路1号(龙洞人民医院对面),113.369669,23.19602,113.36415992092962,23.19850999699667,[],广东省,广州市,天河区,风景名胜,公园广场,城市广场
B0IAVMEUUN,岩本·万胜围体育公园,风景名胜;公园广场;公园|体育休闲服务;体育休闲服务场所;体育休闲服务场所,110101|080000,tour,新港东路2352号,113.391981,23.096254,113.38645973375824,23.098763878364515,13430210567;13711353643,广东省,广州市,海珠区,风景名胜,公园广场,公园
B0G3V4C9RX,世冠足球公园(百信广场东区),风景名胜;公园广场;公园|体育休闲服务;运动场馆;运动场所,110101|080100,tour,机场路1399号百信广场东区L6层,113.258298,23.194663,113.25296736366542,23.19731713684762,15659223633,广东省,广州市,白云区,风景名胜,公园广场,公园
B0FFKQ2CAJ,时空隧道,风景名胜;风景名胜相关;旅游景点|体育休闲服务;体育休闲服务场所;体育休闲服务场所,110000|080000,tour,汉溪大道东299号长隆野生动物世界内(北侧),113.314583,23.005681,113.30918877740515,23.00834435821332,020-84783333,广东省,广州市,番禺区,风景名胜,风景名胜相关,旅游景点
B0FFHIQH79,聚好堂农家乐莲麻村旅游区,风景名胜;风景名胜相关;旅游景点,110000,tour,吕田镇莲麻村中一队16号,114.004145,23.891737,113.99905085289603,23.894385135030404,15986321828,广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0GRCXFY88,粤美丽连麻小镇生态旅游景区,风景名胜;风景名胜相关;旅游景点,110000,tour,莲麻中心街莲麻小镇(东南角),114.005577,23.891242,114.00047923508576,23.89388561850375,[],广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0FFJ22FCI,黄沙坑革命遗址纪念馆,风景名胜;风景名胜;纪念馆,110204,tour,莲沙街,113.981586,23.891884,113.976548676747,23.89459975622063,[],广东省,广州市,从化区,风景名胜,风景名胜,纪念馆
B0FFKHGRJS,广州从化莲麻花海,风景名胜;风景名胜;风景名胜,110200,tour,吕田镇莲麻村莲沙街黄沙坑内,113.985352,23.893595,113.9803053774484,23.896300404498582,020-87849116,广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFIB13B2,桂峰山风景旅游区,风景名胜;风景名胜;风景名胜,110200,tour,353省道,114.037446,23.792498,114.03228109871452,23.79501821582021,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B00140UFC6,长兴庙,风景名胜;风景名胜;回教寺,110207,tour,吕田镇小杉村小杉环库街望牛岭,113.965556,23.768964,113.96056285534128,23.771682686462164,[],广东省,广州市,从化区,风景名胜,风景名胜,回教寺
B0FFI7869U,桂峰石斛博览园,风景名胜;风景名胜相关;旅游景点,110000,tour,桂峰生辉兰花基地西北侧200米,114.001425,23.803471,113.9963437633133,23.806096743546306,[],广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0IBYUQBVP,儒林第,风景名胜;风景名胜;风景名胜,110200,tour,吕田镇三村楼子社,114.024649,23.831708,114.0195086683203,23.834274532103844,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0ID4HN4WT,司马第,风景名胜;风景名胜;风景名胜,110200,tour,吕田镇新联村,113.984506,23.781194,113.97946900082182,23.78386378597923,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFIGCCCW,莲麻小镇,风景名胜;风景名胜相关;旅游景点,110000,tour,吕田镇105国道莲麻村莲麻大舞台,114.004966,23.891542,113.99986977158152,23.894187577971323,020-87849183,广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0I6RHTB4M,从化吕田花田喜事油菜花,风景名胜;风景名胜;风景名胜,110200,tour,吕田镇吕中村柯村夏屋街1号,113.970242,23.807721,113.96523639412776,23.81043907019691,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFKDWDK4,白石嘴胡氏公屋-中共从化从北区第一个党支部办公旧址,风景名胜;风景名胜;红色景区,110210,tour,三村红梅街与353省道交叉口南300米,114.029842,23.836759,114.02468975277554,23.83931306769623,[],广东省,广州市,从化区,风景名胜,风景名胜,红色景区
B0HR47YW89,白石嘴公屋-中共从化县第一个党支部成立会议旧址,风景名胜;风景名胜;纪念馆,110204,tour,从化区三村红梅街,114.029897,23.836752,114.02474463419968,23.839305918449536,[],广东省,广州市,从化区,风景名胜,风景名胜,纪念馆
B0HBY7GPKC,陈氏宗祠,风景名胜;风景名胜;寺庙道观,110205,tour,陈山路与联峰街交叉口东280米,114.014567,23.80588,114.00945243981788,23.80846705980262,[],广东省,广州市,从化区,风景名胜,风景名胜,寺庙道观
B00140W45I,赏心亭旅游驿站,风景名胜;风景名胜;风景名胜,110200,tour,赏心亭旅游驿站(261县道东),113.935275,23.453737,113.93034819265114,23.456485478545712,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0HUFUW1UD,银场公园,风景名胜;公园广场;公园,110101,tour,正果镇银场村,113.970125,23.399172,113.9651467103705,23.40185323381258,[],广东省,广州市,增城区,风景名胜,公园广场,公园
B00140W457,何仙姑祠,风景名胜;风景名胜;寺庙道观,110205,tour,何屋村(聚龙庄对面),113.937118,23.476694,113.93218798481504,23.47943785676416,[],广东省,广州市,增城区,风景名胜,风景名胜,寺庙道观
B00141JAPV,兰溪森林公园,风景名胜;公园广场;公园,110101,tour,正果镇兰溪村,113.950655,23.36808,113.9457150916577,23.370813493673094,[],广东省,广州市,增城区,风景名胜,公园广场,公园
B0FFHEPOKP,中共增龙博中心县委旧址,风景名胜;风景名胜;红色景区,110210,tour,283乡道西150米,113.970197,23.413891,113.96521758702048,23.41656979719387,[],广东省,广州市,增城区,风景名胜,风景名胜,红色景区
B0HBGMF8YS,德星祠,风景名胜;风景名胜相关;旅游景点,110000,tour,思联街与小杉小楼街交叉口西南380米,113.979201,23.768869,113.97417761637294,23.77155059838834,[],广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0FFKUX0I4,广州市花田喜事农业科技有限公司,风景名胜;风景名胜相关;旅游景点,110000,tour,吕田镇吕中村柯村,113.970128,23.806749,113.96512270630627,23.80946706686669,[],广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B00140W31S,吕田镇天慈园,风景名胜;风景名胜相关;旅游景点,110000,tour,中新南路东50米,113.94252,23.78545,113.9375637679978,23.78822393717748,[],广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0FFH7KBPT,吕田镇政务广场,风景名胜;公园广场;城市广场,110105,tour,人和街附近,113.952746,23.813102,113.94777346299746,23.815864335702,[],广东省,广州市,从化区,风景名胜,公园广场,城市广场
B0FFGHZB8K,锺氏宗祠,风景名胜;风景名胜;寺庙道观,110205,tour,中新南路与广新南路交叉口西南120米,113.947089,23.804875,113.94212553440076,23.807646358437275,[],广东省,广州市,从化区,风景名胜,风景名胜,寺庙道观
B0HDYORFBU,吕田革命烈士纪念碑,风景名胜;风景名胜;纪念馆,110204,tour,吕田镇吕新村,113.960154,23.817601,113.95516820883044,23.82034788758628,[],广东省,广州市,从化区,风景名胜,风景名胜,纪念馆
B00141SD01,钟法进师爷庙,风景名胜;风景名胜;寺庙道观,110205,tour,正果鎮浪拔西湖坳村附近,113.931513,23.465345,113.9265884350442,23.468097751852447,[],广东省,广州市,增城区,风景名胜,风景名胜,寺庙道观
B0IUOH7U1W,广州抗日第一枪遗址,风景名胜;风景名胜;风景名胜,110200,tour,合水店路9号,113.962938,23.415891,113.95797343607713,23.41858823795189,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B00141U08S,广州荔枝沟漂流旅游园,风景名胜;风景名胜相关;旅游景点,110000,tour,水美路,113.964091,23.352701,113.95912830247828,23.355406663678966,[],广东省,广州市,增城区,风景名胜,风景名胜相关,旅游景点
B0JGSSJXUN,琶洲花园,风景名胜;风景名胜;风景名胜,110200,tour,[],113.930473,23.48177,113.92554807510048,23.48452297719665,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0FFGOMM9X,畲族风情村,风景名胜;风景名胜相关;旅游景点,110000,tour,正果镇兰溪中路北畲族村,113.988224,23.340695,113.98320707887176,23.343336209689376,[],广东省,广州市,增城区,风景名胜,风景名胜相关,旅游景点
B00140W45A,黄何乡村公园,风景名胜;公园广场;公园,110101,tour,正果镇黄屋村,113.934879,23.47138,113.92995138460029,23.474127604922256,[],广东省,广州市,增城区,风景名胜,公园广场,公园
B0IRNRY67G,王氏富洞祠堂,风景名胜;风景名胜;风景名胜,110200,tour,洋江路22号,113.946918,23.403477,113.94198122531628,23.40621175312532,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0I1HSRZEH,西湖滩森林公园,风景名胜;风景名胜;风景名胜,110200,tour,西湖滩村,113.919674,23.464326,113.91475461507106,23.46709140963521,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0FFLJT6YY,师爷古观,风景名胜;风景名胜;回教寺,110207,tour,284乡道与塘墩路交叉口西南500米,113.931573,23.465337,113.92664839279878,23.46808967307542,[],广东省,广州市,增城区,风景名胜,风景名胜,回教寺
B0HKPS8UNF,斗方门,风景名胜;风景名胜相关;旅游景点,110000,tour,乌头石西冚路,113.936487,23.438191,113.93156010527214,23.4409392617097,[],广东省,广州市,增城区,风景名胜,风景名胜相关,旅游景点
B00140W45H,蒙花布,风景名胜;公园广场;公园,110101,tour,正果镇花三路61号,113.896673,23.436376,113.89174610302834,23.43915064609268,[],广东省,广州市,增城区,风景名胜,公园广场,公园
B0FFH128DS,亭缘,风景名胜;风景名胜相关;旅游景点,110000,tour,广新南路与广新一巷交叉口西20米,113.949814,23.808862,113.94484631896093,23.81162915707463,[],广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0KBHDIXLF,邓氏宗祠,风景名胜;风景名胜;风景名胜,110200,tour,吕田镇草铺村水头队,113.93213,23.772182,113.9271847963189,23.77496834299624,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFJ7P4L9,如冈世基,风景名胜;风景名胜;风景名胜,110200,tour,水埔村,113.934548,23.810805,113.92959830860131,23.81359966210115,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0K67UBFL0,莲座,风景名胜;风景名胜;风景名胜,110200,tour,孙厂街,113.919953,23.761132,113.9150140613595,23.763928422197925,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0K67UADX8,海棠殿,风景名胜;风景名胜;风景名胜,110200,tour,安山香山街,113.918054,23.761166,113.91311528035033,23.7639638912493,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0K67CBFNX,望仙台,风景名胜;风景名胜;风景名胜,110200,tour,安山香山街,113.917961,23.761513,113.91302226375048,23.76431105413984,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0K67UBNAL,寿(灵龟祝寿),风景名胜;风景名胜;风景名胜,110200,tour,孙厂街,113.91994,23.760985,113.9150010731862,23.76378139229221,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0JKJUHYAN,烽火台,风景名胜;风景名胜;风景名胜,110200,tour,梦樱岛东南侧400米,113.919685,23.760433,113.91474614939192,23.763229445881976,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0K67UBFL2,龙床,风景名胜;风景名胜;风景名胜,110200,tour,孙厂街,113.919759,23.761274,113.9148200825972,23.764070617860188,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFFAFTHD,紫薇花海,风景名胜;风景名胜相关;旅游景点,110000,tour,吕田镇安山村105国道北侧暖水塘路,113.907455,23.772918,113.90251352012685,23.775724351272647,13802835980;13923236359,广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0K67UB7W6,得宝台,风景名胜;风景名胜;风景名胜,110200,tour,孙厂街,113.919375,23.762178,113.91443607807506,23.76497517211072,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFG82KF1,广州市白江湖森林公园,风景名胜;风景名胜;风景名胜,110200,tour,正果镇浪拔村,113.908419,23.497491,113.90349604588516,23.50026057961696,020-32164700,广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0FFF35XYG,佛爷寺,风景名胜;风景名胜;寺庙道观,110205,tour,正光街16号,113.895686,23.418688,113.8907592985566,23.42146464313296,[],广东省,广州市,增城区,风景名胜,风景名胜,寺庙道观
B00140UM3H,正果寺,风景名胜;风景名胜;寺庙道观,110205,tour,正桥路18号,113.895688,23.418764,113.89076129558326,23.42154063321522,020-26224556,广东省,广州市,增城区,风景名胜,风景名胜,寺庙道观
B0JKV5NU6O,香蜜奇缘,风景名胜;风景名胜;风景名胜,110200,tour,安山香山街,113.917369,23.762965,113.91243019825848,23.76576387467095,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0JKJUM2YY,飞来石,风景名胜;风景名胜;风景名胜,110200,tour,安山香山街,113.917571,23.763675,113.91263214283254,23.76647393028089,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0JKV5ID5I,听泉,风景名胜;风景名胜;风景名胜,110200,tour,安山香山街,113.917194,23.763133,113.91225519290438,23.765932042150805,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0JKV5MF1C,百福纳吉祥(百福石),风景名胜;风景名胜;风景名胜,110200,tour,安山香山街,113.916859,23.763802,113.91192015553636,23.76660145542745,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFIPSAJJ,上林竹祠堂,风景名胜;风景名胜相关;旅游景点,110000,tour,企壁路,113.925492,23.396955,113.9205753353749,23.39972326380609,[],广东省,广州市,增城区,风景名胜,风景名胜相关,旅游景点
B0FFH12CBL,宾公佛岩寺,风景名胜;风景名胜;寺庙道观,110205,tour,坡头村路,113.916939,23.422974,113.91202254048476,23.425745827108035,[],广东省,广州市,增城区,风景名胜,风景名胜,寺庙道观
B0K69AHI7S,秤钩风藤,风景名胜;风景名胜;风景名胜,110200,tour,正果镇畲族村,113.983314,23.343447,113.97830897109742,23.34610206074458,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0FFMDKDYG,蒙花布旅游度假沙滩,风景名胜;风景名胜;海滩,110208,tour,花三路61号,113.896673,23.441671,113.89174575700272,23.444445051485143,[],广东省,广州市,增城区,风景名胜,风景名胜,海滩
B0FFKEFU0A,湖心岛桑果科普生态文化园,风景名胜;公园广场;植物园,110103,tour,261县道西50米,113.913585,23.448216,113.90866667274751,23.450986895406302,020-82814988,广东省,广州市,增城区,风景名胜,公园广场,植物园
B0JK4USIPL,从化瓦尔登响水河田园风景区,风景名胜;风景名胜;风景名胜,110200,tour,吕田镇塘田村塘下二队33号,113.902905,23.776516,113.89796076629764,23.779324056426148,18702002339,广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0JKGCED30,鹰池,风景名胜;风景名胜;风景名胜,110200,tour,白江湖森林公园,113.903937,23.502102,113.89901148351623,23.50487227534988,020-32164700,广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0IRNZYQVH,正果拦河塔,风景名胜;风景名胜;风景名胜,110200,tour,花三路61号,113.900835,23.438097,113.89591154564704,23.440872011587963,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0K69ZNMUO,芸香谷,风景名胜;风景名胜;风景名胜,110200,tour,安山香山街,113.915072,23.763339,113.91013313050766,23.76613945558635,[],广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFFW0EOM,正果蒙花布森林公园,风景名胜;风景名胜;风景名胜,110200,tour,蒙花布花三路61号,113.90103,23.43505,113.8961068914894,23.43782537105273,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0I2CCEVFI,蒙花布Menghuabu滨江沙滩,风景名胜;风景名胜;海滩,110208,tour,花三路花3路61号,113.898567,23.441202,113.89364150490104,23.44397645145923,[],广东省,广州市,增城区,风景名胜,风景名胜,海滩
B0K69SJNKI,香蜜山广场,风景名胜;公园广场;城市广场,110105,tour,安山香山街,113.914989,23.765575,113.91004997633183,23.7683761270826,[],广东省,广州市,从化区,风景名胜,公园广场,城市广场
B0I2CHET7Z,乌石大王公园,风景名胜;公园广场;公园,110101,tour,花三路49号,113.898686,23.44023,113.8937606707876,23.44300457531332,[],广东省,广州市,增城区,风景名胜,公园广场,公园
B0I27UOQCS,榄园竹海沙滩,风景名胜;风景名胜;海滩,110208,tour,正果镇蒙花布村花三路61号,113.893916,23.437302,113.88898625038829,23.44007575906733,[],广东省,广州市,增城区,风景名胜,风景名胜,海滩
B0IAVBB6R8,乐途四季房车旅游股份有限公司,风景名胜;风景名胜相关;旅游景点,110000,tour,正果镇蒙花布村花三路61号,113.896375,23.439456,113.89144761659212,23.442230227103945,[],广东省,广州市,增城区,风景名胜,风景名胜相关,旅游景点
B0I2CHDR2C,正果碧道,风景名胜;风景名胜;风景名胜,110200,tour,正果镇蒙花布村花三路61号,113.898573,23.440226,113.89364757385282,23.443000559854525,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B0FFIJM1FH,正果油菜花海,风景名胜;风景名胜相关;旅游景点,110000,tour,正光街与正宁街交叉口西40米,113.893066,23.417568,113.8881366100374,23.420343954825643,[],广东省,广州市,增城区,风景名胜,风景名胜相关,旅游景点
B0FFHCW8P0,快活林银滩,风景名胜;风景名胜;海滩,110208,tour,正果镇高楼灯防洪站25-1,113.89085,23.438732,113.8859166520573,23.441504355587128,13318730243,广东省,广州市,增城区,风景名胜,风景名胜,海滩
B0JKTS4MML,水嗡阁,风景名胜;风景名胜;风景名胜,110200,tour,白江湖森林公园内,113.894526,23.508625,113.88959222982324,23.511394023981392,[],广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B00141PTBO,溪头石巷,风景名胜;风景名胜相关;旅游景点,110000,tour,良口镇东北部从化溪头旅游村内(北侧),113.867345,23.713516,113.86235399707934,23.71628381993941,[],广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0FFIH6Q5T,街心文化公园,风景名胜;公园广场;公园,110101,tour,正光街与正东街交叉口西40米,113.893806,23.418265,113.88887737576287,23.42104112558744,[],广东省,广州市,增城区,风景名胜,公园广场,公园
B0FFHDO7LU,阿婆六茶花谷,风景名胜;风景名胜;风景名胜,110200,tour,阿婆六村,113.881753,23.693127,113.87679014417527,23.695905867564584,15815967718,广东省,广州市,从化区,风景名胜,风景名胜,风景名胜
B0FFGY0K5K,竹海云山,风景名胜;风景名胜相关;旅游景点,110000,tour,溪头村和记农家菜山水居民宿,113.855511,23.721644,113.85049256725571,23.724396433403733,020-87898829;13535088600,广东省,广州市,从化区,风景名胜,风景名胜相关,旅游景点
B0GK0RC26G,增城区正果老街景区,风景名胜;风景名胜;风景名胜,110200,tour,正宁街16号,113.893062,23.416899,113.88813264928493,23.419675046541386,020-82810112,广东省,广州市,增城区,风景名胜,风景名胜,风景名胜
B00141L06M,从化溪头旅游村,风景名胜;风景名胜;省级景点,110203,tour,良口镇东北部,113.867387,23.712862,113.86239612887776,23.715629726559968,[],广东省,广州市,从化区,风景名胜,风景名胜,省级景点
B00140W45R,正果镇月亮湾公园,风景名胜;公园广场;公园,110101,tour,正果大桥以西,113.885383,23.41873,113.8804436993043,23.42150170011909,[],广东省,广州市,增城区,风景名胜,公园广场,公园
